gameweek_id,name,deadline_time,average_entry_score,finished,data_checked,highest_scoring_entry,deadline_time_game_offset,highest_score,is_previous,is_current,is_next,chip_plays,most_selected,most_transferred_in,top_element,top_element_info,transfers_made,most_captained,most_vice_captained
1,Gameweek 1,2020-09-12 10:00:00,50,True,True,4761681.0,0,142.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 112843}, {'chip_name': '3xc', 'num_played': 225426}]",259.0,12.0,254.0,"{'id': 254, 'points': 20}",0,4.0,4.0
2,Gameweek 2,2020-09-19 10:00:00,59,True,True,6234344.0,0,165.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 94615}, {'chip_name': 'freehit', 'num_played': 111968}, {'chip_name': 'wildcard', 'num_played': 494000}, {'chip_name': '3xc', 'num_played': 221133}]",259.0,302.0,390.0,"{'id': 390, 'points': 24}",14637421,4.0,254.0
3,Gameweek 3,2020-09-26 10:00:00,43,True,True,6223553.0,0,119.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 86797}, {'chip_name': 'freehit', 'num_played': 155467}, {'chip_name': 'wildcard', 'num_played': 681997}, {'chip_name': '3xc', 'num_played': 177478}]",259.0,164.0,224.0,"{'id': 224, 'points': 17}",20387878,272.0,254.0
4,Gameweek 4,2020-10-03 10:00:00,48,True,True,6563000.0,0,160.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 82267}, {'chip_name': 'freehit', 'num_played': 131861}, {'chip_name': 'wildcard', 'num_played': 420437}, {'chip_name': '3xc', 'num_played': 171134}]",272.0,164.0,37.0,"{'id': 37, 'points': 24}",14570655,254.0,272.0
5,Gameweek 5,2020-10-17 10:00:00,60,True,True,7124486.0,0,136.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 80554}, {'chip_name': 'freehit', 'num_played': 161926}, {'chip_name': 'wildcard', 'num_played': 599860}, {'chip_name': '3xc', 'num_played': 114707}]",164.0,390.0,117.0,"{'id': 117, 'points': 16}",18391649,390.0,254.0
6,Gameweek 6,2020-10-23 17:30:00,48,True,True,4289106.0,0,123.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 58697}, {'chip_name': 'freehit', 'num_played': 118050}, {'chip_name': 'wildcard', 'num_played': 384670}, {'chip_name': '3xc', 'num_played': 160028}]",164.0,388.0,202.0,"{'id': 202, 'points': 17}",12707803,254.0,390.0
7,Gameweek 7,2020-10-30 18:30:00,53,True,True,6909580.0,0,131.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 68374}, {'chip_name': 'freehit', 'num_played': 66726}, {'chip_name': 'wildcard', 'num_played': 159972}, {'chip_name': '3xc', 'num_played': 146112}]",390.0,232.0,370.0,"{'id': 370, 'points': 17}",8811577,388.0,390.0
8,Gameweek 8,2020-11-06 16:00:00,55,True,True,601887.0,0,133.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 76086}, {'chip_name': 'freehit', 'num_played': 86496}, {'chip_name': 'wildcard', 'num_played': 144543}, {'chip_name': '3xc', 'num_played': 148254}]",390.0,110.0,302.0,"{'id': 302, 'points': 17}",9570772,388.0,390.0
9,Gameweek 9,2020-11-21 11:00:00,55,True,True,1800361.0,0,119.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 76389}, {'chip_name': 'freehit', 'num_played': 158381}, {'chip_name': 'wildcard', 'num_played': 259461}, {'chip_name': '3xc', 'num_played': 87933}]",164.0,302.0,164.0,"{'id': 164, 'points': 13}",12576286,302.0,390.0
10,Gameweek 10,2020-11-27 18:30:00,44,True,True,4357171.0,0,117.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 48490}, {'chip_name': 'freehit', 'num_played': 87749}, {'chip_name': 'wildcard', 'num_played': 121238}, {'chip_name': '3xc', 'num_played': 82820}]",164.0,468.0,275.0,"{'id': 275, 'points': 21}",8328156,224.0,164.0
11,Gameweek 11,2020-12-05 11:00:00,62,True,True,5110538.0,0,132.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 41291}, {'chip_name': 'freehit', 'num_played': 156906}, {'chip_name': 'wildcard', 'num_played': 136212}, {'chip_name': '3xc', 'num_played': 88610}]",164.0,468.0,141.0,"{'id': 141, 'points': 18}",10260651,302.0,390.0
12,Gameweek 12,2020-12-11 18:30:00,51,True,True,3123679.0,0,120.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 89621}, {'chip_name': 'freehit', 'num_played': 60402}, {'chip_name': 'wildcard', 'num_played': 91197}, {'chip_name': '3xc', 'num_played': 98831}]",390.0,254.0,231.0,"{'id': 231, 'points': 16}",7999562,254.0,390.0
13,Gameweek 13,2020-12-15 16:30:00,42,True,True,7635989.0,0,100.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 75312}, {'chip_name': 'freehit', 'num_played': 51261}, {'chip_name': 'wildcard', 'num_played': 64286}, {'chip_name': '3xc', 'num_played': 70299}]",390.0,141.0,165.0,"{'id': 165, 'points': 14}",6780344,302.0,390.0
14,Gameweek 14,2020-12-19 11:00:00,60,True,True,2778028.0,0,136.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 49711}, {'chip_name': 'freehit', 'num_played': 31043}, {'chip_name': 'wildcard', 'num_played': 54437}, {'chip_name': '3xc', 'num_played': 41744}]",390.0,474.0,309.0,"{'id': 309, 'points': 18}",5947944,254.0,390.0
15,Gameweek 15,2020-12-26 11:00:00,41,True,True,7696631.0,0,110.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 57942}, {'chip_name': 'freehit', 'num_played': 66424}, {'chip_name': 'wildcard', 'num_played': 119950}, {'chip_name': '3xc', 'num_played': 152494}]",390.0,254.0,39.0,"{'id': 39, 'points': 15}",9177142,254.0,390.0
16,Gameweek 16,2020-12-28 13:30:00,37,True,True,3757024.0,0,95.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 50094}, {'chip_name': 'freehit', 'num_played': 38038}, {'chip_name': 'wildcard', 'num_played': 174034}, {'chip_name': '3xc', 'num_played': 63220}]",390.0,376.0,88.0,"{'id': 88, 'points': 15}",6438409,254.0,390.0
17,Gameweek 17,2021-01-01 16:00:00,56,True,True,7770159.0,0,129.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 41306}, {'chip_name': 'freehit', 'num_played': 27069}, {'chip_name': 'wildcard', 'num_played': 222186}, {'chip_name': '3xc', 'num_played': 36841}]",390.0,141.0,17.0,"{'id': 17, 'points': 18}",7293426,254.0,390.0
18,Gameweek 18,2021-01-12 16:30:00,30,True,True,7254288.0,0,86.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 19636}, {'chip_name': 'freehit', 'num_played': 1410195}, {'chip_name': 'wildcard', 'num_played': 498119}, {'chip_name': '3xc', 'num_played': 55090}]",390.0,272.0,156.0,"{'id': 156, 'points': 11}",32158085,388.0,390.0
19,Gameweek 19,2021-01-16 11:00:00,74,True,True,1915505.0,0,195.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 387836}, {'chip_name': 'freehit', 'num_played': 223366}, {'chip_name': 'wildcard', 'num_played': 416567}, {'chip_name': '3xc', 'num_played': 531377}]",390.0,449.0,273.0,"{'id': 273, 'points': 27}",12977478,254.0,302.0
