chance_of_playing_next_round,chance_of_playing_this_round,player_code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,player_type_id,ep_next,ep_this,event_points,form,player_id,in_dreamteam,news,news_added,now_cost,photo,PPG,selected_by_percent,status,team_id,team_code,total_points,transfers_in_event,transfers_out_event,value_form,value_season,web_name,total_minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,PP90,PPMM,VAPM
0.0,0.0,37605,0,0,-2,2,0,3,0.0,0.0,0,0.0,1,False,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-20 22:30:18.118477,68,37605.jpg,0.0,0.7,n,1,3,0,25,1631,0.0,0.0,Özil,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,588,237,587,236,588,236,589,237,,,,,,,,0.0,-0.29411764705882354
0.0,0.0,39476,0,0,-1,1,0,2,0.0,0.0,0,0.0,2,False,Not included in Arsenal's 25-man Premier League squad. - Unknown return date,2020-10-21 10:30:18.546407,49,39476.jpg,0.0,0.1,n,1,3,0,12,302,0.0,0.0,Sokratis,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,528,202,518,202,504,193,532,202,,,,,,,,0.0,-0.4081632653061224
75.0,100.0,41270,0,0,0,0,0,2,1.1,1.5,1,1.5,3,False,Thigh injury - 75% chance of playing,2020-10-25 21:30:13.186040,55,41270.jpg,1.4,1.1,d,1,3,7,2135,2689,0.3,1.3,David Luiz,319,0,0,0,5,0,0,0,0,0,0,0,51,66.6,9.8,21.0,9.7,154,59,278,87,205,59,219,75,,,4.0,,,,1.974921630094044,0.2545454545454545,-0.10909090909090911
100.0,100.0,54694,-1,1,-3,3,0,3,2.0,2.0,2,2.0,4,False,,2020-10-08 09:00:12.305506,117,54694.jpg,3.3,15.8,a,1,3,20,2962,48723,0.2,1.7,Aubameyang,540,1,1,1,7,0,0,0,1,0,0,0,73,93.4,102.9,117.0,31.3,97,36,40,30,41,22,49,26,,,6.0,,1.0,,3.333333333333333,0.28205128205128205,0.1111111111111111
100.0,100.0,58822,0,0,-2,2,0,2,0.0,0.0,0,0.0,5,False,,2020-09-23 09:00:14.881983,48,58822.jpg,0.0,0.2,a,1,3,0,82,289,0.0,0.0,Cédric,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,513,197,501,197,480,186,517,197,,,,,,,,0.0,-0.4166666666666667
,,59966,-1,1,-1,1,0,4,2.2,2.2,1,2.2,6,False,,,84,59966.jpg,4.6,3.9,a,1,3,23,1661,12997,0.3,2.7,Lacazette,346,3,0,1,4,0,0,0,1,0,0,3,79,112.4,51.2,180.0,34.4,69,13,110,15,23,15,38,16,,,5.0,,3.0,,5.982658959537572,0.5476190476190476,0.3095238095238095
100.0,100.0,69140,0,0,0,0,0,2,0.2,0.2,1,0.2,7,False,,2020-08-15 10:00:11.331812,50,69140.jpg,1.0,0.0,a,1,3,1,104,36,0.0,0.2,Mustafi,41,0,0,0,1,0,0,0,0,0,0,0,9,7.6,1.0,0.0,0.9,342,130,338,123,532,204,372,134,,,,,,,2.1951219512195124,0.2,-0.2
,,80201,0,0,0,0,0,1,2.5,2.5,2,2.5,8,False,,,50,80201.jpg,3.2,9.4,a,1,3,19,3371,11912,0.5,3.8,Leno,540,0,0,1,7,0,0,0,0,0,15,2,111,122.4,0.0,0.0,12.3,53,9,543,56,534,55,177,9,,,,,,,3.166666666666667,0.64,0.24000000000000005
,,84450,0,0,-1,1,0,3,1.2,1.2,1,1.2,9,False,,,54,84450.jpg,1.7,0.6,a,1,3,10,307,1139,0.2,1.9,Xhaka,407,0,0,1,6,0,0,0,1,0,0,0,47,51.8,33.7,29.0,11.4,197,78,153,94,178,94,188,89,,,2.0,,,,2.211302211302211,0.31481481481481477,-0.05555555555555556
0.0,0.0,92371,0,0,-1,1,0,2,0.0,0.0,0,0.0,10,False,Ankle injury - Expected back 07 Nov,2020-08-15 10:00:11.357231,44,92371.jpg,0.0,0.0,i,1,3,0,11,25,0.0,0.0,Marí,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,447,174,428,173,397,157,452,174,,,,,,,,0.0,-0.45454545454545453
,,98745,0,0,0,0,0,2,3.5,3.5,1,3.5,11,False,,,50,98745.jpg,3.5,5.9,a,1,3,21,7957,6858,0.7,4.2,Bellerín,540,0,2,1,7,0,0,0,3,0,0,3,104,94.2,66.9,33.0,19.5,94,31,85,17,164,42,101,26,,,,,,,3.5,0.7,0.3
25.0,25.0,101184,0,0,0,0,0,2,0.0,0.0,0,0.0,13,False,Lack of match fitness - 25% chance of playing,2020-08-15 10:00:11.386295,45,101184.jpg,0.0,0.0,d,1,3,0,15,30,0.0,0.0,Chambers,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,482,190,468,190,441,177,487,190,,,,,,,,0.0,-0.4444444444444444
,,111457,0,0,-2,2,0,2,0.0,0.0,0,0.0,14,False,,,48,111457.jpg,2.0,0.2,a,1,3,2,79,329,0.0,0.4,Kolasinac,90,0,0,0,1,0,0,0,0,0,0,0,9,3.6,5.4,4.0,1.3,363,136,287,90,298,101,366,132,,,,,,,2.0,0.4166666666666667,0.0
