player_id,fixture_id,opponent_team_id,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out
1,2,8,0,False,2020-09-12 11:30:00,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,70,0,76656,0,0
1,9,19,0,True,2020-09-19 19:00:00,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,69,-16828,68335,995,17823
2,2,8,0,False,2020-09-12 11:30:00,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,12184,0,0
2,9,19,0,True,2020-09-19 19:00:00,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-4015,8234,51,4066
3,2,8,0,False,2020-09-12 11:30:00,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,69564,0,0
3,9,19,1,True,2020-09-19 19:00:00,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,55,-23455,49797,1738,25193
4,2,8,7,False,2020-09-12 11:30:00,0,3,1,90,1,0,1,0,0,0,0,1,0,0,0,19,36.6,15.3,54.0,10.6,120,0,2823465,0,0
4,9,19,5,True,2020-09-19 19:00:00,2,1,2,90,0,1,0,1,0,0,0,0,0,0,0,20,28.0,36.4,15.0,7.9,120,-76570,3002806,146991,223561
5,2,8,0,False,2020-09-12 11:30:00,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,35774,0,0
5,9,19,0,True,2020-09-19 19:00:00,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-11854,27448,901,12755
6,2,8,7,False,2020-09-12 11:30:00,0,3,1,86,1,0,1,0,0,0,0,0,0,0,1,29,38.6,12.7,48.0,9.9,85,0,196064,0,0
6,9,19,7,True,2020-09-19 19:00:00,2,1,2,76,1,0,0,1,0,0,0,0,0,0,1,29,33.0,5.7,31.0,7.0,85,59951,342387,93434,33483
7,2,8,0,False,2020-09-12 11:30:00,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,899,0,0
7,9,19,0,True,2020-09-19 19:00:00,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-153,1016,41,194
8,2,8,7,False,2020-09-12 11:30:00,0,3,1,90,0,0,1,0,0,0,0,0,0,2,1,29,14.0,0.0,0.0,1.4,50,0,400285,0,0
8,9,19,2,True,2020-09-19 19:00:00,2,1,2,90,0,0,0,1,0,0,0,0,0,2,0,18,18.0,0.0,0.0,1.8,50,71268,614046,112820,41552
9,2,8,3,False,2020-09-12 11:30:00,0,3,1,77,0,0,1,0,0,0,0,0,0,0,0,11,6.8,17.2,21.0,4.5,55,0,42909,0,0
9,9,19,2,True,2020-09-19 19:00:00,2,1,2,90,0,0,0,1,0,0,0,0,0,0,0,10,16.4,6.7,0.0,2.3,55,670,58116,9879,9209
10,2,8,0,False,2020-09-12 11:30:00,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,769,0,0
10,9,19,0,True,2020-09-19 19:00:00,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-153,740,38,191
11,2,8,5,False,2020-09-12 11:30:00,0,3,1,90,0,0,1,0,0,0,0,1,0,0,0,23,9.8,26.4,4.0,4.0,50,0,240975,0,0
11,9,19,2,True,2020-09-19 19:00:00,2,1,2,90,0,0,0,1,0,0,0,0,0,0,0,10,7.6,6.9,2.0,1.7,50,23037,326713,54450,31413
12,10,15,13,True,2020-09-21 17:00:00,1,0,2,90,0,0,1,0,0,1,0,0,0,1,2,38,32.2,0.0,0.0,3.2,45,38079,349600,53128,15049
13,2,8,0,False,2020-09-12 11:30:00,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,1043,0,0
13,9,19,0,True,2020-09-19 19:00:00,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-177,1100,75,252
14,2,8,0,False,2020-09-12 11:30:00,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,17088,0,0
14,9,19,2,True,2020-09-19 19:00:00,2,1,2,90,0,0,0,1,0,0,0,0,0,0,0,9,3.6,5.4,4.0,1.3,49,-4572,15419,492,5064
15,2,8,6,False,2020-09-12 11:30:00,0,3,1,90,0,0,1,0,0,0,0,0,0,0,0,21,10.2,2.8,4.0,1.7,50,0,112927,0,0
15,9,19,0,True,2020-09-19 19:00:00,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,13143,152759,27762,14619
16,2,8,6,False,2020-09-12 11:30:00,0,3,1,90,0,0,1,0,0,0,0,0,0,0,0,28,20.6,1.2,0.0,2.2,45,0,71148,0,0
16,9,19,2,True,2020-09-19 19:00:00,2,1,2,90,0,0,0,1,0,0,0,0,0,0,0,16,13.6,0.3,0.0,1.4,45,46375,148466,72351,25976
17,2,8,6,False,2020-09-12 11:30:00,0,3,1,90,0,0,1,0,0,0,0,0,0,0,0,25,12.8,2.5,2.0,1.7,55,0,686005,0,0
17,9,19,0,True,2020-09-19 19:00:00,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,659,777005,56372,55713
18,2,8,1,False,2020-09-12 11:30:00,0,3,1,15,0,0,0,0,0,0,0,0,0,0,0,3,2.0,15.3,6.0,2.3,80,0,132947,0,0
18,9,19,1,True,2020-09-19 19:00:00,2,1,2,26,0,0,0,0,0,0,0,0,0,0,0,3,1.0,2.3,8.0,1.1,79,-46967,95969,2864,49831
19,2,8,0,False,2020-09-12 11:30:00,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,15039,0,0
19,9,19,0,True,2020-09-19 19:00:00,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-3347,14793,811,4158
20,2,8,0,False,2020-09-12 11:30:00,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,7504,0,0
20,9,19,0,True,2020-09-19 19:00:00,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-1555,6935,261,1816
21,2,8,0,False,2020-09-12 11:30:00,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,5478,0,0
21,9,19,0,True,2020-09-19 19:00:00,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,-1235,5332,225,1460
22,2,8,1,False,2020-09-12 11:30:00,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,60,0,112190,0,0
22,9,19,8,True,2020-09-19 19:00:00,2,1,2,13,1,0,0,0,0,0,0,0,0,0,3,31,34.0,0.1,21.0,5.5,59,-34641,83645,3801,38442
23,2,8,0,False,2020-09-12 11:30:00,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,17820,0,0
23,9,19,0,True,2020-09-19 19:00:00,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,-3896,13976,302,4198
24,2,8,0,False,2020-09-12 11:30:00,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,491508,0,0
24,9,19,2,True,2020-09-19 19:00:00,2,1,2,88,0,0,0,1,0,0,0,0,0,0,0,8,7.4,20.3,30.0,5.8,54,-145334,357292,7716,153050
25,2,8,0,False,2020-09-12 11:30:00,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,11041,0,0
25,9,19,0,True,2020-09-19 19:00:00,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,-2501,10787,630,3131
26,2,8,0,False,2020-09-12 11:30:00,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,2608,0,0
26,9,19,0,True,2020-09-19 19:00:00,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,-588,2378,185,773
