chance_of_playing_next_round,chance_of_playing_this_round,cost_change_event,cost_change_start,player_type_id,expected_points_next_gw,expected_points_this_gw,event_points,form,player_id,player_news,news_added,player_price,player_photo,points_per_game,selected_by_percent,status,team_id,team_code,total_points,total_transfers_in,transfers_in_event,total_transfers_out,transfers_out_event,value_form,value_season,web_name,total_minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,full_name,understat_id,games_played,xG,understat_assists,xA,shots,key_passes,npg,npxG,xGChain,xGBuildup,team_name,team_short_name,team_strength,position_name,position_name_short
100.0,100.0,0,0,2,0.8,0.8,0,0.3,3,,2020-10-25 21:30:13.186040,5.5,41270.jpg,1.4,0.9,a,1,3,7,34055,2625,67891,2775,0.1,1.3,David Luiz,319,0,0,0,5,0,0,0,0,0,0,0,51,66.6,9.8,21.0,9.7,200,83,309,101,236,70,268,90,,4.0,,David Luiz Moreira Marinho,1676,5,0.08108850568532944,0,0.0,2,0,0,0.08108850568532944,0.7419462278485298,0.7419462278485298,Arsenal,ARS,4,Defender,DEF
100.0,100.0,0,0,2,1.2,1.2,0,0.7,7,,2020-08-15 10:00:11.331812,5.0,69140.jpg,1.0,0.0,a,1,3,2,10844,283,10708,188,0.1,0.4,Mustafi,44,0,0,0,1,0,0,0,0,0,0,0,13,11.6,1.0,0.0,1.3,358,140,369,141,554,210,390,145,,,,Shkodran Mustafi,1699,2,0.0,0,0.0,0,0,0,0.0,0.06472476571798325,0.06472476571798325,Arsenal,ARS,4,Defender,DEF
,,0,1,2,5.2,5.2,1,4.7,11,,,5.1,98745.jpg,4.2,8.2,a,1,3,34,490328,38775,252524,24700,0.9,6.7,Bellerín,720,0,3,2,10,0,0,0,3,0,0,6,152,126.6,91.4,49.0,26.8,96,34,80,21,161,38,93,21,,,,Héctor Bellerín,492,8,0.08624733425676823,2,0.6254728026688099,2,4,0,0.08624733425676823,2.2237989790737633,2.052540380507708,Arsenal,ARS,4,Defender,DEF
0.0,,0,-2,2,0.0,0.5,0,0.0,14,Illness - Expected back 29 Nov,2020-11-18 14:00:19.656655,4.8,111457.jpg,2.0,0.2,i,1,3,2,4711,140,16107,700,0.0,0.4,Kolasinac,90,0,0,0,1,0,0,0,0,0,0,0,9,3.6,5.4,4.0,1.3,389,148,320,107,326,117,389,144,,,,Sead Kolasinac,342,1,0.0,0,0.0,0,0,0,0.0,0.429358035326004,0.429358035326004,Arsenal,ARS,4,Defender,DEF
,,0,-2,2,0.8,0.8,0,0.3,15,,,4.8,154043.jpg,2.2,1.1,a,1,3,9,46535,577,118487,4646,0.1,1.9,Maitland-Niles,187,0,0,1,3,0,0,0,0,0,0,0,35,20.2,4.3,7.0,3.2,326,133,329,115,302,102,357,128,,,,Ainsley Maitland-Niles,1750,4,0.04620342329144478,0,0.0,1,0,0,0.04620342329144478,0.6275815963745117,0.581378161907196,Arsenal,ARS,4,Defender,DEF
100.0,100.0,0,-1,2,2.5,2.5,1,2.0,16,,2020-10-17 22:30:19.025474,4.4,156074.jpg,3.0,1.3,a,1,3,15,172347,4205,196851,3593,0.5,3.4,Holding,450,0,0,2,7,0,0,0,1,0,0,0,100,96.8,3.6,4.0,10.4,153,62,333,117,322,115,256,88,,,,Rob Holding,1749,5,0.10873187333345412,0,0.0,1,0,0,0.10873187333345412,0.9438181966543198,0.9438181966543198,Arsenal,ARS,4,Defender,DEF
100.0,100.0,0,-1,2,3.5,3.5,1,3.0,17,,2020-10-14 10:30:19.613747,5.4,192895.jpg,2.9,5.2,a,1,3,20,116478,4863,528784,13866,0.6,3.7,Tierney,620,0,0,2,9,0,0,0,0,0,0,0,121,111.6,97.8,31.0,24.1,123,48,67,17,200,57,114,29,,,,Kieran Tierney,8089,7,0.055151401087641716,0,0.520165778696537,3,6,0,0.055151401087641716,1.886478915810585,1.4782053343951702,Arsenal,ARS,4,Defender,DEF
,,0,1,2,3.8,3.8,1,3.3,494,,,5.1,226597.jpg,4.4,11.4,a,1,3,31,878556,13599,512881,31718,0.6,6.1,Gabriel,630,1,0,2,7,0,0,0,1,0,0,5,143,182.6,7.0,85.0,27.5,35,9,314,102,84,14,89,20,,,,Gabriel Magalhães,5613,7,0.7665101587772369,0,0.0,5,0,1,0.7665101587772369,1.5845253206789494,1.5845253206789494,Arsenal,ARS,4,Defender,DEF
,,0,-1,2,0.3,-0.2,0,0.3,29,,,4.4,37339.jpg,1.0,0.3,a,2,7,2,7666,273,22057,953,0.1,0.5,El Mohamady,33,0,0,0,0,0,0,0,0,0,0,0,8,7.6,15.9,4.0,2.8,370,143,267,80,320,113,360,130,,,,Ahmed El Mohamady,1685,2,0.0,0,0.045103128999471664,0,1,0,0.0,0.05820625368505716,0.05820625368505716,Aston Villa,AVL,3,Defender,DEF
,,1,3,2,4.0,3.5,6,4.0,41,,,5.3,149484.jpg,6.0,12.5,a,2,7,42,898476,141166,201512,17833,0.8,7.9,Mings,630,2,1,4,9,0,0,0,2,0,0,3,166,208.4,25.8,100.0,33.6,25,5,220,59,69,7,66,11,,,,Tyrone Mings,1024,7,0.9368733130395412,1,0.06867159157991409,6,2,2,0.9368733130395412,1.382187195122242,1.3657677844166756,Aston Villa,AVL,3,Defender,DEF
,,0,0,2,4.0,3.5,11,4.0,42,,,4.5,169359.jpg,4.1,2.4,a,2,7,29,171077,53290,71274,7602,0.9,6.4,Targett,630,0,1,4,9,0,0,0,2,0,0,2,129,77.2,89.6,42.0,21.0,185,76,85,22,173,44,142,43,6.0,5.0,,Matt Targett,884,7,0.1761269047856331,0,0.206826314330101,3,5,0,0.1761269047856331,1.505126602947712,1.372576966881752,Aston Villa,AVL,3,Defender,DEF
