fixture_id,round,kickoff_time,event_name,home_game,difficulty,player_id,opponent_team_id,team_id,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,team_short_name,position_name_short,team_strength,full_name,opponent_team,opponent_team_strength
82,9.0,2020-11-22 16:30:00,Gameweek 9,False,3,3,10,1,,4.0,,ARS,DEF,4,David Luiz Moreira Marinho,LEE,3
229,24.0,2021-02-13 15:00:00,Gameweek 24,True,2,3,10,1,,4.0,,ARS,DEF,4,David Luiz Moreira Marinho,LEE,3
82,9.0,2020-11-22 16:30:00,Gameweek 9,False,3,4,10,1,,6.0,1.0,ARS,MID,4,Pierre-Emerick Aubameyang,LEE,3
229,24.0,2021-02-13 15:00:00,Gameweek 24,True,2,4,10,1,,6.0,1.0,ARS,MID,4,Pierre-Emerick Aubameyang,LEE,3
82,9.0,2020-11-22 16:30:00,Gameweek 9,False,3,6,10,1,,5.0,3.0,ARS,FWD,4,Alexandre Lacazette,LEE,3
229,24.0,2021-02-13 15:00:00,Gameweek 24,True,2,6,10,1,,5.0,3.0,ARS,FWD,4,Alexandre Lacazette,LEE,3
82,9.0,2020-11-22 16:30:00,Gameweek 9,False,3,7,10,1,,,,ARS,DEF,4,Shkodran Mustafi,LEE,3
229,24.0,2021-02-13 15:00:00,Gameweek 24,True,2,7,10,1,,,,ARS,DEF,4,Shkodran Mustafi,LEE,3
82,9.0,2020-11-22 16:30:00,Gameweek 9,False,3,8,10,1,,,,ARS,GKP,4,Bernd Leno,LEE,3
229,24.0,2021-02-13 15:00:00,Gameweek 24,True,2,8,10,1,,,,ARS,GKP,4,Bernd Leno,LEE,3
82,9.0,2020-11-22 16:30:00,Gameweek 9,False,3,9,10,1,,2.0,,ARS,MID,4,Granit Xhaka,LEE,3
229,24.0,2021-02-13 15:00:00,Gameweek 24,True,2,9,10,1,,2.0,,ARS,MID,4,Granit Xhaka,LEE,3
82,9.0,2020-11-22 16:30:00,Gameweek 9,False,3,11,10,1,,,,ARS,DEF,4,Héctor Bellerín,LEE,3
229,24.0,2021-02-13 15:00:00,Gameweek 24,True,2,11,10,1,,,,ARS,DEF,4,Héctor Bellerín,LEE,3
252,26.0,2021-02-27 15:00:00,Gameweek 26,False,3,12,10,2,,,,AVL,GKP,3,Emiliano Martínez,LEE,3
82,9.0,2020-11-22 16:30:00,Gameweek 9,False,3,14,10,1,,,,ARS,DEF,4,Sead Kolasinac,LEE,3
229,24.0,2021-02-13 15:00:00,Gameweek 24,True,2,14,10,1,,,,ARS,DEF,4,Sead Kolasinac,LEE,3
82,9.0,2020-11-22 16:30:00,Gameweek 9,False,3,15,10,1,,,,ARS,DEF,4,Ainsley Maitland-Niles,LEE,3
229,24.0,2021-02-13 15:00:00,Gameweek 24,True,2,15,10,1,,,,ARS,DEF,4,Ainsley Maitland-Niles,LEE,3
82,9.0,2020-11-22 16:30:00,Gameweek 9,False,3,16,10,1,,,,ARS,DEF,4,Rob Holding,LEE,3
229,24.0,2021-02-13 15:00:00,Gameweek 24,True,2,16,10,1,,,,ARS,DEF,4,Rob Holding,LEE,3
82,9.0,2020-11-22 16:30:00,Gameweek 9,False,3,17,10,1,,,,ARS,DEF,4,Kieran Tierney,LEE,3
229,24.0,2021-02-13 15:00:00,Gameweek 24,True,2,17,10,1,,,,ARS,DEF,4,Kieran Tierney,LEE,3
82,9.0,2020-11-22 16:30:00,Gameweek 9,False,3,18,10,1,2.0,3.0,2.0,ARS,MID,4,Nicolas Pépé,LEE,3
229,24.0,2021-02-13 15:00:00,Gameweek 24,True,2,18,10,1,2.0,3.0,2.0,ARS,MID,4,Nicolas Pépé,LEE,3
