player_id,fixture_id,opponent_team_id,total_points,home_game,kickoff_time,round,minutes_played,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,player_price,transfers_balance,selected,transfers_in,transfers_out,team_score,opponent_team_score,team_id,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,team_short_name,position_name_short,team_strength,full_name,opponent_team,opponent_team_strength
3,2,8,0.0,False,2020-09-12 11:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.5,0,69564,0,0,3,0,1,0.0,0.0,0.0,ARS,DEF,4,David Luiz Moreira Marinho,FUL,2
4,2,8,7.0,False,2020-09-12 11:30:00,1,90,1,0,1,0,0,0,0,1,0,0,0,19,36.6,15.3,54.0,10.6,12.0,0,2823465,0,0,3,0,1,0.0,0.0,1.0,ARS,MID,4,Pierre-Emerick Aubameyang,FUL,2
6,2,8,7.0,False,2020-09-12 11:30:00,1,86,1,0,1,0,0,0,0,0,0,0,1,29,38.6,12.7,48.0,9.9,8.5,0,196064,0,0,3,0,1,0.0,0.0,0.0,ARS,FWD,4,Alexandre Lacazette,FUL,2
7,2,8,0.0,False,2020-09-12 11:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,0,899,0,0,3,0,1,0.0,0.0,0.0,ARS,DEF,4,Shkodran Mustafi,FUL,2
8,2,8,7.0,False,2020-09-12 11:30:00,1,90,0,0,1,0,0,0,0,0,0,2,1,29,14.0,0.0,0.0,1.4,5.0,0,400285,0,0,3,0,1,0.0,0.0,0.0,ARS,GKP,4,Bernd Leno,FUL,2
9,2,8,3.0,False,2020-09-12 11:30:00,1,77,0,0,1,0,0,0,0,0,0,0,0,11,6.8,17.2,21.0,4.5,5.5,0,42909,0,0,3,0,1,0.0,2.0,0.0,ARS,MID,4,Granit Xhaka,FUL,2
11,2,8,5.0,False,2020-09-12 11:30:00,1,90,0,0,1,0,0,0,0,1,0,0,0,23,9.8,26.4,4.0,4.0,5.0,0,240975,0,0,3,0,1,0.0,0.0,0.0,ARS,DEF,4,Héctor Bellerín,FUL,2
12,22,8,6.0,False,2020-09-28 16:45:00,3,90,0,0,1,0,0,0,0,0,0,2,0,26,19.0,0.0,0.0,1.9,4.5,333894,783041,385360,51466,3,0,2,0.0,0.0,0.0,AVL,GKP,3,Emiliano Martínez,FUL,2
14,2,8,0.0,False,2020-09-12 11:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,0,17088,0,0,3,0,1,0.0,0.0,0.0,ARS,DEF,4,Sead Kolasinac,FUL,2
15,2,8,6.0,False,2020-09-12 11:30:00,1,90,0,0,1,0,0,0,0,0,0,0,0,21,10.2,2.8,4.0,1.7,5.0,0,112927,0,0,3,0,1,0.0,0.0,0.0,ARS,DEF,4,Ainsley Maitland-Niles,FUL,2
16,2,8,6.0,False,2020-09-12 11:30:00,1,90,0,0,1,0,0,0,0,0,0,0,0,28,20.6,1.2,0.0,2.2,4.5,0,71148,0,0,3,0,1,0.0,0.0,0.0,ARS,DEF,4,Rob Holding,FUL,2
17,2,8,6.0,False,2020-09-12 11:30:00,1,90,0,0,1,0,0,0,0,0,0,0,0,25,12.8,2.5,2.0,1.7,5.5,0,686005,0,0,3,0,1,0.0,0.0,0.0,ARS,DEF,4,Kieran Tierney,FUL,2
18,2,8,1.0,False,2020-09-12 11:30:00,1,15,0,0,0,0,0,0,0,0,0,0,0,3,2.0,15.3,6.0,2.3,8.0,0,132947,0,0,3,0,1,2.0,0.0,2.0,ARS,MID,4,Nicolas Pépé,FUL,2
22,2,8,1.0,False,2020-09-12 11:30:00,1,3,0,0,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,6.0,0,112190,0,0,3,0,1,0.0,0.0,0.0,ARS,FWD,4,Edward Nketiah,FUL,2
24,2,8,0.0,False,2020-09-12 11:30:00,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.5,0,491508,0,0,3,0,1,0.0,0.0,0.0,ARS,MID,4,Bukayo Saka,FUL,2
29,22,8,0.0,False,2020-09-28 16:45:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.5,-3639,30390,1678,5317,3,0,2,0.0,0.0,0.0,AVL,DEF,3,Ahmed El Mohamady,FUL,2
33,22,8,14.0,False,2020-09-28 16:45:00,3,76,1,1,1,0,0,0,0,0,0,0,3,44,55.4,40.1,20.0,11.6,6.0,-196,5325,568,764,3,0,2,1.0,1.0,0.0,AVL,MID,3,Conor Hourihane,FUL,2
37,22,8,8.0,False,2020-09-28 16:45:00,3,90,1,0,1,0,0,0,0,0,0,0,0,29,45.4,25.0,61.0,13.1,7.0,-48718,658262,44657,93375,3,0,2,0.0,0.0,0.0,AVL,MID,3,Jack Grealish,FUL,2
38,22,8,10.0,False,2020-09-28 16:45:00,3,90,0,2,1,0,0,0,0,1,0,0,2,35,45.0,55.4,31.0,13.1,5.5,-2945,32594,1806,4751,3,0,2,0.0,0.0,0.0,AVL,MID,3,John McGinn,FUL,2
40,22,8,3.0,False,2020-09-28 16:45:00,3,83,0,0,1,0,0,0,0,0,0,0,0,16,12.6,1.3,26.0,4.0,5.5,-10476,82853,6683,17159,3,0,2,0.0,0.0,0.0,AVL,MID,3,Mahmoud Ahmed Ibrahim Hassan,FUL,2
41,22,8,12.0,False,2020-09-28 16:45:00,3,90,1,0,1,0,0,0,0,1,0,0,1,31,61.4,0.2,34.0,9.6,5.0,33228,155915,44618,11390,3,0,2,0.0,0.0,0.0,AVL,DEF,3,Tyrone Mings,FUL,2
42,22,8,5.0,False,2020-09-28 16:45:00,3,90,0,0,1,0,0,0,0,1,0,0,0,24,8.6,2.0,0.0,1.1,4.5,2569,65844,11484,8915,3,0,2,0.0,0.0,0.0,AVL,DEF,3,Matt Targett,FUL,2
44,22,8,1.0,False,2020-09-28 16:45:00,3,3,0,0,0,0,0,0,0,0,0,0,0,5,7.2,0.3,0.0,0.8,4.5,-3991,33838,1765,5756,3,0,2,0.0,0.0,0.0,AVL,MID,3,Marvelous Nakamba,FUL,2
45,22,8,0.0,False,2020-09-28 16:45:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6.0,-1756,9412,665,2421,3,0,2,0.0,0.0,2.0,AVL,MID,3,Anwar El Ghazi,FUL,2
46,22,8,6.0,False,2020-09-28 16:45:00,3,90,0,0,1,0,0,0,0,0,0,0,0,25,23.8,0.0,0.0,2.4,4.5,123297,178556,145702,22405,3,0,2,0.0,0.0,0.0,AVL,DEF,3,Ezri Konsa Ngoyo,FUL,2
50,22,8,0.0,False,2020-09-28 16:45:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.5,-74542,1015076,136592,211134,3,0,2,0.0,0.0,0.0,AVL,FWD,3,Keinan Davis,FUL,2
52,22,8,3.0,False,2020-09-28 16:45:00,3,86,0,0,1,0,0,0,0,0,0,0,0,3,3.2,0.5,0.0,0.4,5.0,-1041,25292,3375,4416,3,0,2,0.0,0.0,0.0,AVL,MID,3,Douglas Luiz Soares de Paulo,FUL,2
106,22,8,0.0,False,2020-09-28 16:45:00,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.9,-2661,19252,1476,2277,3,0,2,2.0,2.0,0.0,AVL,MID,3,Ross Barkley,FUL,2
108,53,8,5.0,False,2020-10-24 14:00:00,6,90,0,1,0,1,0,0,0,0,0,0,0,19,35.4,11.0,60.0,10.6,5.8,5365,59327,9921,4556,2,1,6,0.0,0.0,0.0,CRY,FWD,3,Michy Batshuayi,FUL,2
125,53,8,0.0,False,2020-10-24 14:00:00,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.5,925,6523,2162,1237,2,1,6,0.0,0.0,0.0,CRY,DEF,3,Gary Cahill,FUL,2
127,53,8,1.0,False,2020-10-24 14:00:00,6,5,0,0,0,1,0,0,0,0,0,0,0,5,3.0,0.0,0.0,0.3,4.5,-576,22186,2330,2906,2,1,6,0.0,0.0,0.0,CRY,DEF,3,Mamadou Sakho,FUL,2
128,53,8,1.0,False,2020-10-24 14:00:00,6,90,0,0,0,1,0,0,0,1,0,2,0,9,13.0,0.0,0.0,1.3,5.0,-7906,347005,17708,25614,2,1,6,0.0,0.0,0.0,CRY,GKP,3,Vicente Guaita,FUL,2
130,53,8,0.0,False,2020-10-24 14:00:00,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.4,-877,11436,242,1119,2,1,6,0.0,0.0,0.0,CRY,MID,3,James McArthur,FUL,2
131,53,8,0.0,False,2020-10-24 14:00:00,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.5,-31819,131542,471,32290,2,1,6,0.0,0.0,0.0,CRY,MID,3,James McCarthy,FUL,2
132,53,8,0.0,False,2020-10-24 14:00:00,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.5,302,15662,1776,1474,2,1,6,0.0,0.0,0.0,CRY,FWD,3,Christian Benteke,FUL,2
133,53,8,2.0,False,2020-10-24 14:00:00,6,90,0,0,0,1,0,0,0,0,0,0,0,16,20.4,0.3,0.0,2.1,5.0,52,52322,7051,6999,2,1,6,0.0,0.0,0.0,CRY,MID,3,Cheikhou Kouyaté,FUL,2
134,53,8,0.0,False,2020-10-24 14:00:00,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.5,-191,120457,8465,8656,2,1,6,0.0,0.0,0.0,CRY,DEF,3,Joel Ward,FUL,2
137,53,8,2.0,False,2020-10-24 14:00:00,6,90,0,0,0,1,0,0,0,0,0,0,0,9,28.2,28.5,2.0,5.9,6.1,-20703,249458,20309,41012,2,1,6,0.0,0.0,0.0,CRY,MID,3,Andros Townsend,FUL,2
138,53,8,2.0,False,2020-10-24 14:00:00,6,90,0,0,0,1,0,0,0,0,0,0,0,10,7.2,11.9,1.0,2.0,5.7,-2749,27329,472,3221,2,1,6,1.0,1.0,1.0,CRY,MID,3,Luka Milivojevic,FUL,2
139,53,8,1.0,False,2020-10-24 14:00:00,6,18,0,0,0,1,0,0,0,0,0,0,0,2,3.8,0.7,7.0,1.2,5.4,5198,15288,7556,2358,2,1,6,0.0,2.0,2.0,CRY,DEF,3,Patrick van Aanholt,FUL,2
140,53,8,0.0,False,2020-10-24 14:00:00,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.8,-68494,163256,1364,69858,2,1,6,0.0,0.0,0.0,CRY,FWD,3,Jordan Ayew,FUL,2
141,53,8,13.0,False,2020-10-24 14:00:00,6,90,1,1,0,1,0,0,0,0,0,0,3,43,66.4,47.3,109.0,22.3,7.2,133920,1541444,240498,106578,2,1,6,0.0,0.0,0.0,CRY,MID,3,Wilfried Zaha,FUL,2
142,53,8,3.0,False,2020-10-24 14:00:00,6,75,0,0,1,0,0,0,0,0,0,0,0,6,8.0,12.3,19.0,3.9,5.5,-112,6625,518,630,2,1,6,0.0,0.0,0.0,CRY,MID,3,Jeffrey Schlupp,FUL,2
144,53,8,9.0,False,2020-10-24 14:00:00,6,84,1,0,1,0,0,0,0,0,0,0,1,28,43.4,13.3,17.0,7.4,4.4,10553,42013,15784,5231,2,1,6,0.0,0.0,0.0,CRY,MID,3,Jairo Riedewald,FUL,2
146,53,8,2.0,False,2020-10-24 14:00:00,6,90,0,0,0,1,0,0,0,0,0,0,0,13,21.6,1.8,17.0,4.0,4.2,16161,1943442,87186,71025,2,1,6,0.0,0.0,0.0,CRY,DEF,3,Tyrick Mitchell,FUL,2
193,13,8,0.0,True,2020-09-19 14:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,6.0,-8951,112167,11349,20300,4,3,10,0.0,2.0,0.0,LEE,MID,3,Pablo Hernández Domínguez,FUL,2
195,13,8,1.0,True,2020-09-19 14:00:00,2,90,0,0,0,3,0,0,0,0,0,0,0,14,13.4,0.4,0.0,1.4,4.5,-12336,40527,844,13180,4,3,10,0.0,0.0,0.0,LEE,DEF,3,Liam Cooper,FUL,2
197,13,8,1.0,True,2020-09-19 14:00:00,2,90,0,0,0,3,0,0,0,0,0,0,0,12,18.8,1.3,0.0,2.0,4.5,21987,284510,50630,28643,4,3,10,0.0,0.0,0.0,LEE,DEF,3,Luke Ayling,FUL,2
198,13,8,9.0,True,2020-09-19 14:00:00,2,90,1,1,0,3,0,0,0,1,0,0,0,36,56.8,16.8,19.0,9.3,5.5,126282,245552,158316,32034,4,3,10,2.0,0.0,1.0,LEE,MID,3,Mateusz Klich,FUL,2
200,13,8,1.0,True,2020-09-19 14:00:00,2,90,0,0,0,3,0,0,0,0,0,0,0,18,21.2,3.7,4.0,2.9,4.5,58951,358887,92240,33289,4,3,10,0.0,0.0,0.0,LEE,DEF,3,Stuart Dallas,FUL,2
201,13,8,1.0,True,2020-09-19 14:00:00,2,20,0,0,0,0,0,0,0,0,0,0,0,3,5.4,1.2,19.0,2.6,4.5,-7209,40659,2193,9402,4,3,10,0.0,0.0,0.0,LEE,DEF,3,Ezgjan Alioski,FUL,2
202,13,8,14.0,True,2020-09-19 14:00:00,2,69,1,2,0,3,0,0,0,0,0,0,2,45,50.4,11.9,21.0,8.3,5.6,364945,752960,429720,64775,4,3,10,0.0,0.0,2.0,LEE,FWD,3,Patrick Bamford,FUL,2
203,13,8,2.0,True,2020-09-19 14:00:00,2,90,0,0,0,3,0,0,0,0,0,0,0,1,0.8,2.0,12.0,1.5,5.5,158460,250466,195124,36664,4,3,10,0.0,0.0,0.0,LEE,MID,3,Jack Harrison,FUL,2
204,13,8,2.0,True,2020-09-19 14:00:00,2,90,0,0,0,3,0,0,0,0,0,0,0,20,26.4,33.6,0.0,6.0,5.0,57398,245486,84308,26910,4,3,10,1.0,1.0,0.0,LEE,MID,3,Kalvin Phillips,FUL,2
205,13,8,14.0,True,2020-09-19 14:00:00,2,90,2,0,0,3,0,0,0,0,0,0,2,45,72.6,17.2,36.0,12.6,5.5,20941,55531,28324,7383,4,3,10,0.0,0.0,0.0,LEE,MID,3,Hélder Wander Sousa de Azevedo e Costa,FUL,2
206,13,8,1.0,True,2020-09-19 14:00:00,2,45,0,0,0,2,0,0,0,0,0,0,0,5,5.4,15.2,11.0,3.2,5.0,-417,5753,574,991,4,3,10,0.0,0.0,0.0,LEE,MID,3,Tyler Roberts,FUL,2
209,13,8,0.0,True,2020-09-19 14:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.5,-2738,19167,1095,3833,4,3,10,0.0,0.0,0.0,LEE,MID,3,Ian Carlo Poveda-Ocampo,FUL,2
210,13,8,0.0,True,2020-09-19 14:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,5.0,-393,3315,187,580,4,3,10,0.0,0.0,0.0,LEE,MID,3,Jamie Shackleton,FUL,2
211,13,8,0.0,True,2020-09-19 14:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,32400,154537,55316,22916,4,3,10,0.0,0.0,0.0,LEE,DEF,3,Pascal Struijk,FUL,2
213,13,8,2.0,True,2020-09-19 14:00:00,2,90,0,0,0,3,0,0,0,0,0,3,0,19,22.2,10.0,0.0,3.2,4.5,27672,108204,40170,12498,4,3,10,0.0,0.0,0.0,LEE,GKP,3,Illan Meslier,FUL,2
214,13,8,0.0,True,2020-09-19 14:00:00,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,-7471,91425,4858,12329,4,3,10,0.0,0.0,0.0,LEE,DEF,3,Leif Davis,FUL,2
262,46,8,1.0,True,2020-10-18 11:00:00,5,26,0,0,0,1,0,0,0,0,0,0,0,1,1.4,0.3,0.0,0.2,4.5,98573,482250,175100,76527,1,1,15,0.0,0.0,0.0,SHU,FWD,3,Rhian Brewster,FUL,2
343,46,8,7.0,True,2020-10-18 11:00:00,5,9,1,0,0,0,0,0,0,0,0,0,2,26,33.2,0.3,17.0,5.1,5.8,-1828,12462,465,2293,1,1,15,0.0,0.0,1.0,SHU,FWD,3,Billy Sharp,FUL,2
344,46,8,2.0,True,2020-10-18 11:00:00,5,63,0,0,1,0,0,0,0,0,0,0,0,4,0.0,2.1,9.0,0.9,5.4,-2816,45304,8399,11215,1,1,15,0.0,0.0,0.0,SHU,FWD,3,David McGoldrick,FUL,2
345,46,8,4.0,True,2020-10-18 11:00:00,5,80,0,0,0,1,0,0,0,0,0,0,2,26,28.6,29.6,4.0,6.2,4.9,-7235,95073,5612,12847,1,1,15,0.0,0.0,0.0,SHU,DEF,3,Chris Basham,FUL,2
