team_id,gw,points,bench,gw_rank,transfers,hits,total_points,overall_ank,team_value,chip
1341730,1,51,17,2534686,0,0,51,2534686,100.0,
1341730,2,60,1,2865165,0,0,111,2514597,100.0,
1341730,3,39,3,4440226,3,4,146,3211725,100.4,
1341730,4,76,9,434131,0,0,222,1398671,100.3,
1341730,5,89,8,235959,1,0,311,533051,100.4,
1341730,6,59,4,1463181,1,0,370,385699,100.9,
1341730,7,66,2,1190446,2,0,436,241051,100.8,
3162521,1,61,6,1549449,0,0,61,1549449,100.0,
3162521,2,71,5,1502773,0,0,132,911586,99.8,
3162521,3,37,4,4863240,2,0,169,1400190,99.8,
3162521,4,67,13,1011647,0,0,236,782387,99.8,
3162521,5,69,10,2250468,2,0,305,691461,99.8,
3162521,6,46,6,4066224,1,0,351,857397,100.4,
3162521,7,66,3,1154120,1,0,417,568203,100.6,
3378241,1,56,0,2027164,0,0,56,2027164,100.0,
3378241,2,46,4,4940335,1,0,102,3372937,99.9,
3378241,3,35,5,5157203,0,0,137,3874047,100.7,wildcard
3378241,4,74,0,555455,1,0,211,1989776,101.0,
3378241,5,79,3,934537,1,0,290,1203873,101.2,
3378241,6,65,15,696136,0,0,355,727669,101.6,
3378241,7,48,18,4943833,2,0,403,950339,101.6,
4751783,1,33,11,4614059,0,0,33,4614059,100.0,
4751783,2,55,0,3585184,0,0,88,4465523,100.2,wildcard
4751783,3,51,2,1736788,2,4,135,4033219,100.8,
4751783,4,59,12,1902387,1,0,194,3049585,101.1,
4751783,5,95,0,78253,1,0,289,1252602,101.4,
4751783,6,69,11,423389,1,0,358,653643,101.9,
4751783,7,61,3,1971804,1,0,419,523424,102.4,
1423491,1,65,2,1209481,0,0,65,1209481,100.0,
1423491,2,63,6,2454458,0,0,128,1155870,99.9,
1423491,3,37,20,4863240,2,0,165,1680535,100.3,
1423491,4,55,5,2383746,0,0,220,1489908,101.0,wildcard
1423491,5,74,2,1510713,1,0,294,1048438,101.3,
1423491,6,61,17,1218798,2,4,351,857397,101.9,
1423491,7,52,5,3841026,0,0,403,950339,102.4,
4429028,1,59,3,1737686,0,0,59,1737686,100.0,
4429028,2,46,9,4870556,0,0,105,3059342,99.8,
4429028,3,39,7,4394275,2,0,144,3347834,99.7,
4429028,4,80,11,283652,0,0,224,1288182,99.6,
