team_id,gw,points,bench,gw_rank,transfers,hits,total_points,overall_ank,team_value,chip
321958,1,100,5,377647,0,0,100,377644,100.0,
321958,2,49,14,5084665,2,4,145,1609840,100.1,
321958,3,61,2,2332992,0,0,206,1459894,100.3,
321958,4,59,0,3622244,1,0,265,1454166,100.4,
321958,5,66,0,1713051,3,4,327,1360111,100.1,
321958,6,41,7,4556578,0,0,368,1548160,100.4,
321958,7,38,0,4200754,2,0,406,1699747,100.7,
321958,8,52,4,3492710,0,0,458,1749149,100.9,wildcard
321958,9,80,3,2417474,1,0,538,1643305,101.7,
321958,10,43,10,4056755,1,0,581,1637561,102.3,
321958,11,51,19,2106228,1,0,632,1504336,102.4,
321958,12,60,3,3717707,1,0,692,1543357,102.6,
321958,13,58,1,1309568,2,4,746,1395041,102.5,
321958,14,63,2,3521395,0,0,809,1439016,102.6,
321958,15,56,12,1124210,1,0,865,1243289,102.7,
321958,16,76,1,869310,1,0,941,1009720,103.1,
321958,17,54,0,2589454,2,0,995,1000254,103.2,
321958,18,66,0,451726,2,4,1057,811511,103.3,
321958,19,50,0,1600463,0,0,1107,724811,103.7,
321958,20,43,0,2776359,2,0,1150,673129,103.7,
321958,21,78,8,598367,2,4,1224,556494,103.3,
321958,22,90,3,173030,0,0,1314,346773,103.6,freehit
321958,23,24,8,7879795,2,4,1334,437484,103.9,
321958,24,47,16,4697372,2,4,1377,606748,104.1,
321958,25,67,0,1036955,2,4,1440,559765,104.1,
1075541,1,94,5,817703,0,0,94,817700,100.0,
1075541,2,59,7,3086955,1,0,153,1140302,100.2,
1075541,3,54,7,4064343,1,0,207,1412188,100.5,
1075541,4,63,4,2571343,0,0,270,1231941,100.4,wildcard
1075541,5,67,7,1465141,1,0,337,974051,100.5,
1075541,6,40,9,5100979,2,4,373,1350040,100.7,
1075541,7,54,8,578418,0,0,427,957666,101.2,
1075541,8,52,10,3692158,2,0,479,1053968,101.0,
1075541,9,57,0,5177302,2,4,532,1825822,100.9,
1075541,10,54,4,1528423,2,4,582,1611878,101.0,
1075541,11,49,15,2544348,1,0,631,1532324,101.4,
1075541,12,66,14,2508597,2,4,693,1523525,101.8,
1075541,13,51,3,2616118,1,0,744,1440161,101.9,
1075541,14,60,4,4502702,1,0,804,1549763,102.2,
1075541,15,41,4,4988371,1,0,845,1654453,102.0,
1075541,16,77,11,785530,2,4,918,1418836,102.0,
1075541,17,57,0,1976351,2,4,971,1398011,102.7,
1075541,18,54,0,1737737,2,4,1021,1325612,102.9,
1075541,19,40,6,3484097,1,0,1061,1329857,102.9,
1075541,20,32,0,5790726,2,4,1089,1468932,102.9,
1075541,21,48,7,3411321,2,4,1133,1618127,102.6,
1075541,22,59,15,2633764,0,0,1192,1546043,101.4,wildcard
1075541,23,36,16,4102970,2,4,1224,1594925,102.0,
1075541,24,70,11,1573792,1,0,1294,1464029,102.4,
1075541,25,70,1,730863,1,0,1364,1244029,102.6,
1186274,1,90,8,1176051,0,0,90,1176048,100.0,
1186274,2,37,10,6779575,2,4,123,3295756,100.2,
1186274,3,43,5,6302613,1,0,166,4032889,100.1,
1186274,4,67,5,1854648,1,0,233,3257411,99.9,
1186274,5,74,4,570705,1,0,307,2252046,99.9,
1186274,6,54,6,1160110,0,0,361,1825488,100.2,wildcard
1186274,7,44,4,2387625,1,0,405,1726477,100.5,
1186274,8,70,5,313254,1,0,475,1174323,100.8,
1186274,9,69,4,3834263,1,0,544,1462130,100.8,
1186274,10,49,17,2585329,3,8,585,1527246,101.0,
1186274,11,64,13,396926,1,0,649,1098913,101.0,
1186274,12,68,12,2081668,1,0,717,1003120,101.6,
1186274,13,44,6,4438381,2,4,757,1169305,102.1,
1186274,14,66,6,2907628,1,0,823,1158791,102.5,
1186274,15,34,2,7067265,2,4,853,1486307,102.6,
1186274,16,55,3,4646376,2,4,904,1698450,102.6,
1186274,17,53,2,2652097,0,0,957,1658009,102.7,
1186274,18,66,0,451726,2,0,1023,1292475,102.4,
1186274,19,76,4,61308,0,0,1099,815688,102.5,freehit
1186274,20,37,0,4300614,1,0,1136,823417,102.8,
1186274,21,59,8,1827444,1,0,1195,818132,102.6,
1186274,22,51,3,4477179,3,8,1238,961145,102.5,
1186274,23,38,2,3128980,0,0,1276,932697,102.7,
1186274,24,49,2,4386448,2,0,1325,1090201,103.0,
1186274,25,28,0,8138928,0,0,1353,1370493,102.7,
1274192,1,80,9,2221626,0,0,80,2221623,100.0,
1274192,2,47,6,5394610,1,0,127,2921658,100.2,
1274192,3,52,8,4427241,0,0,179,3091118,100.2,
1274192,4,69,7,1415778,0,0,248,2310012,99.9,wildcard
1274192,5,54,3,4385924,1,0,302,2474138,100.3,
1274192,6,46,5,3016353,0,0,348,2387027,100.4,freehit
1274192,7,26,3,7184601,1,0,374,3003554,100.2,
1274192,8,35,1,7089784,0,0,409,3579698,99.7,
1274192,9,89,3,1300260,2,0,498,2870491,99.4,
1274192,10,15,0,8482174,1,0,513,3648897,99.5,
1274192,11,40,0,5005033,3,8,545,3922335,99.1,
1274192,12,64,21,2910759,2,4,605,3832895,99.4,
1274192,13,44,0,4246447,0,0,649,3820277,99.6,
1274192,14,67,0,2507919,0,0,716,3669738,99.7,
1274192,15,75,2,39736,3,4,787,3015276,99.4,
1274192,16,59,0,3807899,2,4,842,3079206,99.7,
1274192,17,47,0,4196563,2,4,885,3179070,100.2,
1274192,18,54,0,1784557,4,12,927,3129679,100.2,
1274192,19,81,0,29613,4,12,996,2484363,100.0,
1274192,20,46,0,1978943,0,0,1042,2297774,100.2,freehit
