chance_of_playing_next_round,chance_of_playing_this_round,player_code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,player_type_id,ep_next,ep_this,event_points,form,player_id,in_dreamteam,news,news_added,now_cost,photo,PPG,selected_by_percent,status,team_id,team_code,total_points,transfers_in_event,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,PP90,PPMM,VAPM,team_strength,team_short_name,strength_overall_home,strength_overall_away,position_name_short
,,37605,0,0,-2,2,0,3,-0.5,0.5,0,0.0,1,False,,,68,37605.jpg,0.0,0.8,a,1,3,0,514,4145,0.0,0.0,Özil,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,570,233,571,233,570,232,571,233,,,,,,,,0.0,-0.29411764705882354,4,ARS,1240,1250,MID
75.0,,54694,0,0,-1,1,0,3,1.9,3.5,2,3.0,4,False,Ankle injury - 75% chance of playing,2020-10-08 09:00:12.305506,119,54694.jpg,4.0,22.6,d,1,3,16,22236,394227,0.3,1.3,Aubameyang,360,1,1,1,5,0,0,0,1,0,0,0,54,78.2,57.2,103.0,23.8,69,26,60,44,30,13,41,22,,,6.0,,1.0,,4.0,0.3361344537815126,0.1680672268907563,4,ARS,1240,1250,MID
,,84450,-1,1,-1,1,0,3,0.8,1.8,1,1.3,9,False,,,54,84450.jpg,1.8,0.7,a,1,3,7,1317,7185,0.2,1.3,Xhaka,235,0,0,1,4,0,0,0,0,0,0,0,32,31.4,27.3,21.0,7.9,217,89,130,82,171,94,192,96,,,2.0,,,,2.6808510638297878,0.3333333333333333,-0.03703703703703703,4,ARS,1240,1250,MID
,,195735,-1,1,-3,3,0,3,2.2,3.2,6,2.7,18,False,,,77,195735.jpg,2.2,0.9,a,1,3,9,4177,6025,0.4,1.2,Pépé,95,1,0,0,2,0,0,0,0,0,0,0,30,37.4,20.0,33.0,9.0,195,81,165,100,122,63,167,82,1.0,,3.0,,2.0,,8.526315789473685,0.2857142857142857,0.025974025974026,4,ARS,1240,1250,MID
0.0,,198849,0,0,-2,2,0,3,0.0,0.5,0,0.0,19,False,Joined Atletico Madrid on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05 22:30:19.674811,48,198849.jpg,0.0,0.2,n,1,3,0,309,2741,0.0,0.0,Torreira,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,483,191,474,192,446,176,487,191,,,,,,,,0.0,-0.4166666666666667,4,ARS,1240,1250,MID
,,200089,-1,1,-2,2,0,3,-0.5,0.5,0,0.0,20,False,,,48,200089.jpg,0.0,0.1,a,1,3,0,206,666,0.0,0.0,Willock,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,484,192,475,193,447,177,488,192,,,,,,,,0.0,-0.4166666666666667,4,ARS,1240,1250,MID
75.0,,200641,0,0,-2,2,0,3,-0.4,0.5,0,0.0,21,False,Hamstring injury - 75% chance of playing,2020-10-05 10:00:15.059375,53,200641.jpg,0.0,0.1,d,1,3,0,56,622,0.0,0.0,Nelson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,534,215,531,216,521,208,538,215,5.0,,,,,,,0.0,-0.37735849056603776,4,ARS,1240,1250,MID
100.0,0.0,209289,-1,1,-1,1,0,3,-0.5,0.0,0,0.0,23,False,,2020-09-11 11:00:08.673059,44,209289.jpg,0.0,0.2,a,1,3,0,2465,1497,0.0,0.0,Smith Rowe,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,418,166,402,167,362,145,423,166,,,,,,,,0.0,-0.4545454545454545,4,ARS,1240,1250,MID
,,223340,0,0,-2,2,0,3,2.8,3.8,8,3.3,24,False,,,53,223340.jpg,5.0,3.3,a,1,3,10,13324,27608,0.6,1.9,Saka,174,1,0,0,2,0,0,0,0,0,0,1,37,48.0,26.3,83.0,15.8,142,56,135,84,40,19,79,47,4.0,,,,,,5.172413793103448,0.9433962264150944,0.5660377358490566,4,ARS,1240,1250,MID
0.0,,242166,0,0,-2,2,0,3,0.0,0.5,0,0.0,25,False,Joined Hertha Berlin on loan until the end of the season on 5/10. - Expected back 01 Jul,2020-10-05 17:00:15.072120,48,242166.jpg,0.0,0.1,n,1,3,0,274,2101,0.0,0.0,Guendouzi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,485,193,476,194,449,178,489,193,,,,,,,,0.0,-0.4166666666666667,4,ARS,1240,1250,MID
0.0,0.0,444145,0,0,-1,1,0,3,0.0,0.0,0,0.0,26,False,Knee injury - Expected back 31 Dec,2020-08-15 10:00:11.409498,49,444145.jpg,0.0,0.0,i,1,3,0,86,235,0.0,0.0,Martinelli,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,514,203,506,204,491,195,518,203,,,,,,,,0.0,-0.4081632653061224,4,ARS,1240,1250,MID
,,47431,-1,1,-1,1,1,3,1.5,2.5,2,2.0,478,False,,,79,47431.jpg,5.0,10.1,a,1,3,20,20366,201504,0.3,2.5,Willian,294,0,3,1,4,0,0,0,0,0,0,2,64,52.2,80.9,42.0,17.6,136,52,29,21,97,51,62,37,2.0,,1.0,,,,6.122448979591838,0.6329113924050632,0.3797468354430379,4,ARS,1240,1250,MID
,,182539,0,0,0,0,0,3,3.2,4.2,3,3.7,501,False,,,50,182539.jpg,3.0,2.1,a,1,3,12,9386,22406,0.7,2.4,Ceballos,212,0,1,1,2,0,0,0,1,0,0,3,63,77.0,69.4,24.0,17.1,73,28,42,33,154,82,68,40,3.0,,,,,,5.09433962264151,0.6,0.2,4,ARS,1240,1250,MID
,,153256,0,0,0,0,0,3,0.8,1.8,2,1.3,526,False,,,45,153256.jpg,2.3,1.5,a,1,3,7,8296,15808,0.3,1.6,Elneny,270,0,0,1,4,0,0,0,0,0,0,0,51,42.6,19.7,22.0,8.4,165,68,167,102,160,86,175,86,,,,,,,2.333333333333333,0.5111111111111111,0.06666666666666662,4,ARS,1240,1250,MID
,,167199,0,0,0,0,0,3,1.0,2.0,0,0.0,567,False,,,50,167199.jpg,0.0,0.4,a,1,3,0,24578,2516,0.0,0.0,Partey,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,521,208,517,209,505,200,525,208,,,,,,,,0.0,-0.4,4,ARS,1240,1250,MID
,,40564,0,0,0,0,0,3,-0.5,-1.0,0,0.0,30,False,,,45,40564.jpg,0.0,0.2,a,2,7,0,246,1473,0.0,0.0,Lansbury,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,436,172,421,173,381,151,441,172,,,,,,,,0.0,-0.4444444444444444,3,AVL,1130,1150,MID
,,85242,0,0,0,0,1,3,5.2,4.7,0,5.7,33,False,,,60,85242.jpg,8.5,0.3,a,2,7,17,2406,5116,1.0,2.8,Hourihane,137,1,1,2,0,0,0,0,0,0,0,3,57,62.2,77.7,23.0,16.3,107,40,34,26,159,85,74,42,1.0,,1.0,,,,11.16788321167883,1.4166666666666667,1.0833333333333333,3,AVL,1130,1150,MID
0.0,,89274,0,0,-1,1,0,3,0.0,-1.0,0,0.0,34,False,Contract ended,2020-10-05 07:17:10.828418,59,89274.jpg,0.0,0.1,u,2,7,0,162,1326,0.0,0.0,Jota,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,557,226,558,227,556,225,559,226,,,,,,,,0.0,-0.3389830508474576,3,AVL,1130,1150,MID
,,114283,1,-1,1,-1,1,3,11.2,10.7,24,11.7,37,True,,,71,114283.jpg,11.7,16.7,a,2,7,35,494775,47813,1.6,4.9,Grealish,270,3,3,2,2,0,0,0,0,0,0,3,129,183.8,120.3,170.0,47.4,5,3,12,8,10,5,5,3,3.0,,7.0,,3.0,,11.666666666666664,1.6478873239436618,1.3661971830985915,3,AVL,1130,1150,MID
,,122806,0,0,0,0,0,3,6.8,6.3,10,7.3,38,False,,,55,122806.jpg,7.3,1.2,a,2,7,22,39848,11131,1.3,4.0,McGinn,270,1,3,2,2,0,0,0,2,0,0,2,87,117.0,106.1,61.0,28.4,25,10,18,12,60,32,24,12,4.0,,6.0,,,,7.333333333333334,1.3272727272727272,0.9636363636363636,3,AVL,1130,1150,MID
,,148508,0,0,0,0,0,3,3.2,2.7,5,3.7,40,False,,,55,148508.jpg,3.7,1.1,a,2,7,11,5407,9396,0.7,2.0,Trézéguet,259,0,1,2,2,0,0,0,0,0,0,0,55,58.4,79.3,58.0,19.5,118,45,31,23,62,33,53,31,,,3.0,,,,3.8223938223938223,0.6727272727272727,0.30909090909090914,3,AVL,1130,1150,MID
,,184704,-1,1,-1,1,0,3,-0.2,-0.7,0,0.3,44,False,,,44,184704.jpg,0.5,0.4,a,2,7,1,580,3207,0.1,0.2,Nakamba,13,0,0,0,0,0,0,0,1,0,0,0,4,8.4,0.6,7.0,1.7,299,129,310,151,229,122,321,141,,,,,,,6.9230769230769225,0.11363636363636365,-0.3409090909090909,3,AVL,1130,1150,MID
,,193488,0,0,-1,1,0,3,-0.5,-1.0,0,0.0,45,False,,,59,193488.jpg,0.0,0.1,a,2,7,0,216,1157,0.0,0.0,El Ghazi,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,562,229,562,229,561,228,564,229,5.0,,2.0,,2.0,,,0.0,-0.3389830508474576,3,AVL,1130,1150,MID
,,230046,0,0,0,0,0,3,1.8,1.3,1,2.3,52,False,,,50,230046.jpg,2.3,0.3,a,2,7,7,1008,3047,0.5,1.4,Douglas Luiz,255,0,0,2,2,0,0,0,1,0,0,0,22,28.0,20.4,26.0,7.5,228,94,162,97,145,77,199,97,,,4.0,,,,2.4705882352941178,0.46,0.05999999999999996,3,AVL,1130,1150,MID
