id,code,team_h,team_h_score,team_a,team_a_score,event,finished,minutes,provisional_start_time,kickoff_time,event_name,is_home,difficulty,player_id
23,2128310,11,,1,,3.0,False,0,False,2020-09-28T19:00:00Z,Gameweek 3,False,5,1
29,2128316,1,,15,,4.0,False,0,False,2020-10-04T13:00:00Z,Gameweek 4,True,3,1
44,2128331,12,,1,,5.0,False,0,False,2020-10-17T14:00:00Z,Gameweek 5,False,5,1
49,2128336,1,,9,,6.0,False,0,False,2020-10-24T14:00:00Z,Gameweek 6,True,3,1
64,2128351,13,,1,,7.0,False,0,False,2020-10-31T15:00:00Z,Gameweek 7,False,4,1
69,2128356,1,,2,,8.0,False,0,False,2020-11-07T15:00:00Z,Gameweek 8,True,2,1
82,2128369,10,,1,,9.0,False,0,False,2020-11-21T15:00:00Z,Gameweek 9,False,2,1
89,2128376,1,,20,,10.0,False,0,False,2020-11-28T15:00:00Z,Gameweek 10,True,3,1
106,2128393,17,,1,,11.0,False,0,False,2020-12-05T15:00:00Z,Gameweek 11,False,4,1
109,2128396,1,,4,,12.0,False,0,False,2020-12-13T15:00:00Z,Gameweek 12,True,3,1
119,2128406,1,,16,,13.0,False,0,False,2020-12-15T19:45:00Z,Gameweek 13,True,3,1
133,2128420,7,,1,,14.0,False,0,False,2020-12-19T15:00:00Z,Gameweek 14,False,3,1
139,2128426,1,,5,,15.0,False,0,False,2020-12-26T15:00:00Z,Gameweek 15,True,3,1
149,2128436,3,,1,,16.0,False,0,False,2020-12-28T15:00:00Z,Gameweek 16,False,2,1
168,2128455,18,,1,,17.0,False,0,False,2021-01-02T15:00:00Z,Gameweek 17,False,2,1
169,2128456,1,,6,,18.0,False,0,False,2021-01-12T19:45:00Z,Gameweek 18,True,2,1
179,2128466,1,,14,,19.0,False,0,False,2021-01-16T15:00:00Z,Gameweek 19,True,2,1
197,2128484,16,,1,,20.0,False,0,False,2021-01-27T19:45:00Z,Gameweek 20,False,2,1
199,2128486,1,,13,,21.0,False,0,False,2021-01-30T15:00:00Z,Gameweek 21,True,4,1
215,2128502,20,,1,,22.0,False,0,False,2021-02-02T19:45:00Z,Gameweek 22,False,3,1
219,2128506,2,,1,,23.0,False,0,False,2021-02-06T15:00:00Z,Gameweek 23,False,2,1
229,2128516,1,,10,,24.0,False,0,False,2021-02-13T15:00:00Z,Gameweek 24,True,2,1
239,2128526,1,,12,,25.0,False,0,False,2021-02-20T15:00:00Z,Gameweek 25,True,4,1
253,2128540,9,,1,,26.0,False,0,False,2021-02-27T15:00:00Z,Gameweek 26,False,4,1
261,2128548,4,,1,,27.0,False,0,False,2021-03-06T15:00:00Z,Gameweek 27,False,3,1
269,2128556,1,,17,,28.0,False,0,False,2021-03-13T15:00:00Z,Gameweek 28,True,3,1
288,2128575,19,,1,,29.0,False,0,False,2021-03-20T15:00:00Z,Gameweek 29,False,2,1
289,2128576,1,,11,,30.0,False,0,False,2021-04-03T14:00:00Z,Gameweek 30,True,4,1
305,2128592,15,,1,,31.0,False,0,False,2021-04-10T14:00:00Z,Gameweek 31,False,4,1
309,2128596,1,,8,,32.0,False,0,False,2021-04-17T14:00:00Z,Gameweek 32,True,2,1
319,2128606,1,,7,,33.0,False,0,False,2021-04-24T14:00:00Z,Gameweek 33,True,2,1
335,2128622,14,,1,,34.0,False,0,False,2021-05-01T14:00:00Z,Gameweek 34,False,3,1
339,2128626,1,,18,,35.0,False,0,False,2021-05-08T14:00:00Z,Gameweek 35,True,2,1
354,2128641,5,,1,,36.0,False,0,False,2021-05-12T18:45:00Z,Gameweek 36,False,4,1
362,2128649,6,,1,,37.0,False,0,False,2021-05-15T14:00:00Z,Gameweek 37,False,2,1
369,2128656,1,,3,,38.0,False,0,False,2021-05-23T15:00:00Z,Gameweek 38,True,2,1
23,2128310,11,,1,,3.0,False,0,False,2020-09-28T19:00:00Z,Gameweek 3,False,5,2
29,2128316,1,,15,,4.0,False,0,False,2020-10-04T13:00:00Z,Gameweek 4,True,3,2
44,2128331,12,,1,,5.0,False,0,False,2020-10-17T14:00:00Z,Gameweek 5,False,5,2
49,2128336,1,,9,,6.0,False,0,False,2020-10-24T14:00:00Z,Gameweek 6,True,3,2
64,2128351,13,,1,,7.0,False,0,False,2020-10-31T15:00:00Z,Gameweek 7,False,4,2
69,2128356,1,,2,,8.0,False,0,False,2020-11-07T15:00:00Z,Gameweek 8,True,2,2
82,2128369,10,,1,,9.0,False,0,False,2020-11-21T15:00:00Z,Gameweek 9,False,2,2
89,2128376,1,,20,,10.0,False,0,False,2020-11-28T15:00:00Z,Gameweek 10,True,3,2
106,2128393,17,,1,,11.0,False,0,False,2020-12-05T15:00:00Z,Gameweek 11,False,4,2
109,2128396,1,,4,,12.0,False,0,False,2020-12-13T15:00:00Z,Gameweek 12,True,3,2
119,2128406,1,,16,,13.0,False,0,False,2020-12-15T19:45:00Z,Gameweek 13,True,3,2
