h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD
a,2.1628700000000003,0.126327,2.1628700000000003,0.126327,"{'att': 307, 'def': 14}","{'att': 425, 'def': 13}",11,0,3,0,2.8937,w,2020-09-12 11:30:00,1,0,0,3,2.036543
h,1.32902,2.06377,1.32902,2.06377,"{'att': 217, 'def': 17}","{'att': 420, 'def': 23}",16,4,2,1,0.8155,w,2020-09-19 19:00:00,1,0,0,3,-0.7347499999999998
a,1.1781700000000002,2.73834,1.1781700000000002,2.73834,"{'att': 502, 'def': 14}","{'att': 256, 'def': 29}",3,11,1,3,0.3972,l,2020-09-28 19:15:00,0,0,1,0,-1.56017
h,0.667131,0.144994,0.667131,0.144994,"{'att': 167, 'def': 12}","{'att': 445, 'def': 23}",4,3,2,1,1.8925,w,2020-10-04 13:00:00,1,0,0,3,0.5221370000000001
a,0.8383219999999999,1.43023,0.8383219999999999,1.43023,"{'att': 346, 'def': 17}","{'att': 311, 'def': 23}",3,7,0,1,0.8435999999999999,l,2020-10-17 16:30:00,0,0,1,0,-0.5919079999999999
h,0.73944,0.736172,0.73944,0.736172,"{'att': 264, 'def': 24}","{'att': 367, 'def': 14}",5,2,0,1,1.2724,l,2020-10-25 19:15:00,0,0,1,0,0.0032679999999999376
a,0.998072,0.394113,0.2369030000000001,0.394113,"{'att': 320, 'def': 27}","{'att': 300, 'def': 17}",7,10,1,0,2.0624,w,2020-11-01 16:30:00,1,0,0,3,-0.15721
h,1.39037,1.98553,1.39037,1.98553,"{'att': 169, 'def': 15}","{'att': 331, 'def': 24}",6,16,0,3,0.9461,l,2020-11-08 19:15:00,0,0,1,0,-0.5951599999999999
h,0.8052699999999999,0.849709,0.8052699999999999,0.0885404,"{'att': 89, 'def': 20}","{'att': 247, 'def': 14}",17,2,1,0,1.1601,w,2020-09-21 17:00:00,1,0,0,3,0.7167296000000001
a,2.03222,0.534675,2.03222,0.534675,"{'att': 307, 'def': 33}","{'att': 143, 'def': 24}",10,5,3,0,2.4631,w,2020-09-28 17:00:00,1,0,0,3,1.497545
h,3.07626,1.65705,3.07626,1.65705,"{'att': 365, 'def': 25}","{'att': 119, 'def': 25}",7,18,7,2,2.2569,w,2020-10-04 18:15:00,1,0,0,3,1.41921
a,0.873776,0.6715949999999999,0.873776,0.6715949999999999,"{'att': 212, 'def': 23}","{'att': 210, 'def': 24}",7,4,1,0,1.5291,w,2020-10-18 18:15:00,1,0,0,3,0.20218099999999994
h,1.50125,2.37695,1.50125,2.37695,"{'att': 225, 'def': 17}","{'att': 124, 'def': 34}",7,20,0,3,0.8236000000000001,l,2020-10-23 19:00:00,0,0,1,0,-0.8756999999999999
h,2.44855,1.0033299999999998,1.6873799999999999,1.0033299999999998,"{'att': 161, 'def': 23}","{'att': 164, 'def': 22}",5,2,3,4,2.3854,l,2020-11-01 12:00:00,0,0,1,0,0.68405
a,1.98553,1.39037,1.98553,1.39037,"{'att': 331, 'def': 24}","{'att': 169, 'def': 15}",16,6,3,0,1.8074,w,2020-11-08 19:15:00,1,0,0,3,0.5951599999999999
h,1.44281,1.27062,1.44281,0.509456,"{'att': 271, 'def': 29}","{'att': 292, 'def': 23}",3,6,1,3,1.4766,l,2020-09-14 19:15:00,0,0,1,0,0.933354
a,1.8766,0.520678,1.1154600000000001,0.520678,"{'att': 206, 'def': 19}","{'att': 251, 'def': 21}",3,3,3,0,2.5109,w,2020-09-20 13:00:00,1,0,0,3,0.5947819999999999
h,2.9765900000000003,1.5758299999999998,2.2154599999999998,0.814659,"{'att': 239, 'def': 36}","{'att': 267, 'def': 24}",10,6,2,3,2.3391,l,2020-09-26 11:30:00,0,0,1,0,1.4008010000000002
a,1.1656799999999998,2.3403400000000003,1.1656799999999998,2.3403400000000003,"{'att': 275, 'def': 30}","{'att': 299, 'def': 33}",7,10,2,4,0.5306,l,2020-10-03 14:00:00,0,0,1,0,-1.1746599999999998
a,1.0935,0.761169,1.0935,0.0,"{'att': 147, 'def': 23}","{'att': 299, 'def': 22}",7,1,1,1,1.5263,d,2020-10-18 13:00:00,0,1,0,1,1.0935
h,0.5468069999999999,0.295654,0.5468069999999999,0.295654,"{'att': 257, 'def': 24}","{'att': 274, 'def': 19}",4,4,1,1,1.5782999999999998,d,2020-10-26 17:30:00,0,1,0,1,0.2511530000000001
a,0.324457,1.97236,0.324457,1.21119,"{'att': 207, 'def': 14}","{'att': 287, 'def': 30}",7,3,1,2,0.1922,l,2020-11-01 19:15:00,0,0,1,0,-0.886733
h,1.59022,0.326933,1.59022,0.326933,"{'att': 221, 'def': 22}","{'att': 277, 'def': 20}",16,2,0,0,2.3829,d,2020-11-06 17:30:00,0,1,0,1,1.263287
a,1.52404,0.9873649999999999,1.52404,0.9873649999999999,"{'att': 338, 'def': 21}","{'att': 127, 'def': 17}",6,14,2,4,1.7849,l,2020-09-20 18:00:00,0,0,1,0,0.536675
h,0.347136,0.7066319999999999,0.347136,0.7066319999999999,"{'att': 230, 'def': 28}","{'att': 275, 'def': 20}",9,6,0,1,0.8712,l,2020-09-26 19:00:00,0,0,1,0,-0.35949600000000004
a,0.438849,1.95629,0.438849,1.1951200000000002,"{'att': 226, 'def': 24}","{'att': 249, 'def': 12}",10,4,1,3,0.2523,l,2020-10-03 19:00:00,0,0,1,0,-0.7562709999999999
a,1.08532,0.731692,1.08532,0.731692,"{'att': 253, 'def': 19}","{'att': 165, 'def': 20}",2,3,0,0,1.6791,d,2020-10-19 16:30:00,0,1,0,1,0.35362800000000005
h,0.95045,0.7973439999999999,0.95045,0.7973439999999999,"{'att': 342, 'def': 23}","{'att': 176, 'def': 18}",4,6,0,1,1.4596,l,2020-10-26 20:00:00,0,0,1,0,0.15310599999999994
