id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
453,Son Heung-Min,7,566,8,3.090914897620678,2,1.7901648357510567,15,16,0,0,F M,Tottenham,8,3.090914897620678,5.330408409237862,1.9649304263293743
5555,Dominic Calvert-Lewin,8,703,8,5.818061403930187,0,0.3528262749314308,26,4,1,0,F,Everton,8,5.818061403930187,5.72650969773531,1.278622716665268
755,Jamie Vardy,6,469,7,5.711000025272369,1,0.6502183005213737,13,4,0,0,F S,Leicester,3,2.666324645280838,3.5841170325875282,0.2675740718841553
822,Patrick Bamford,8,676,7,4.632955260574818,1,0.3541257418692112,29,4,1,0,F,Leeds,7,4.632955260574818,5.684093996882439,1.0423743706196547
1250,Mohamed Salah,7,630,7,5.147191882133484,0,1.9461469985544682,32,18,0,0,F,Liverpool,4,2.8636853992938995,6.762861281633377,2.7589555978775024
468,Callum Wilson,8,703,6,6.2659850642085075,1,0.9200033731758595,16,7,1,0,F,Newcastle United,3,3.982478551566601,5.186433412134647,0.3053214158862829
647,Harry Kane,7,627,6,6.138769879937172,8,3.600652813911438,31,14,0,0,F,Tottenham,4,4.616432145237923,6.573389885015786,0.730822023935616
522,Wilfried Zaha,8,720,5,4.2247224599123,2,2.1821369230747223,18,13,2,0,F,Crystal Palace,3,2.702384799718857,5.273610673844814,0.8038306161761284
986,Danny Ings,7,626,5,2.483589205890894,2,0.38785428553819656,15,6,0,0,F,Southampton,4,1.722420334815979,2.3565761148929596,0.5106955729424953
1228,Bruno Fernandes,7,574,5,3.085347540676594,3,1.8204825725406408,20,20,2,0,M,Manchester United,3,0.8018410131335258,2.7964749466627836,0.8554285820573568
65,Timo Werner,8,701,4,3.463863667100668,1,0.6284999419003725,20,5,0,0,F M,Chelsea,4,3.463863667100668,4.391184151172638,0.9473529122769833
675,Jack Grealish,6,540,4,2.600238412618637,4,2.87457949668169,17,17,1,0,F M,Aston Villa,4,2.600238412618637,5.433249861001968,1.6328418627381325
838,Sadio Mané,6,531,4,4.013237610459328,1,1.2059182226657867,21,12,2,0,F M,Liverpool,4,4.013237610459328,5.9633835554122925,1.3161305263638496
3621,Neal Maupay,7,630,4,4.523343563079834,1,0.5649800002574921,21,5,0,0,F M,Brighton,2,3.001079484820366,4.455578863620758,1.3441169653087854
4105,Raúl Jiménez,7,630,4,2.126775234937668,0,0.5053892806172371,22,4,0,0,F,Wolverhampton Wanderers,4,2.126775234937668,2.8133607022464275,0.7242033127695322
8865,Ollie Watkins,6,540,4,3.77691613137722,1,0.5846609380096197,15,9,0,0,F,Aston Villa,3,3.015747308731079,4.269099898636341,1.7302843518555164
531,Michail Antonio,6,490,3,2.963218778371811,0,0.33702840097248554,18,6,1,0,F,West Ham,3,2.963218778371811,3.6503811478614807,0.6049350053071976
843,James Ward-Prowse,8,720,3,0.6474304273724556,1,1.0341413989663124,9,13,1,0,M,Southampton,3,0.6474304273724556,1.8163386583328247,1.4715448543429375
935,Kurt Zouma,7,630,3,0.5528752896934748,0,0.018804335966706276,6,1,0,0,D,Chelsea,3,0.5528752896934748,0.783557154238224,0.783557154238224
1389,Jorginho,7,459,3,3.1184692615643144,1,0.15144091844558716,6,4,0,0,M S,Chelsea,0,0.07379390764981508,1.369551070034504,1.369551070034504
1776,Jarrod Bowen,8,674,3,2.4079986326396465,0,0.5542486533522606,16,3,0,0,F M,West Ham,3,2.4079986326396465,3.7037411630153656,1.3060728535056114
2249,James Rodríguez,7,605,3,1.845007760450244,3,2.7578841000795364,14,17,1,0,F,Everton,3,1.845007760450244,4.885078191757202,2.428759215399623
3277,Alexandre Lacazette,6,427,3,2.4627848118543625,0,0.3091066889464855,8,6,1,0,F S,Arsenal,3,2.4627848118543625,2.9663180336356163,0.3283694423735142
5956,Youri Tielemans,7,630,3,2.2662510462105274,0,0.07540557533502579,7,2,3,0,M,Leicester,1,0.7439134307205677,2.870368391275406,2.1993282586336136
6854,Diogo Jota,5,212,3,1.3872399553656578,0,0.2244535405188799,10,2,0,0,F M S,Liverpool,3,1.3872399553656578,2.4890176951885223,0.8773242123425007
7700,Che Adams,8,691,3,3.389496400952339,2,1.0911040380597115,17,7,1,0,F,Southampton,3,3.389496400952339,3.6181069910526276,0.6496939603239298
111,Jannik Vestergaard,7,582,2,0.49637943506240845,0,0.6078829020261765,3,2,0,0,D S,Southampton,2,0.49637943506240845,1.2394426688551903,1.2394426688551903
318,Pierre-Emerick Aubameyang,7,627,2,1.351223062723875,1,1.1410717032849789,10,8,2,0,F,Arsenal,1,0.590054240077734,2.4979038760066032,0.8484869115054607
556,Marcus Rashford,7,630,2,1.81184202991426,3,0.6618929151445627,17,13,1,0,F M,Manchester United,2,1.81184202991426,2.8541505001485348,0.9137590490281582
592,Ross Barkley,6,395,2,1.1906758937984705,0,0.8207836449146271,14,10,0,0,M S,"Aston Villa,Chelsea",2,1.1906758937984705,2.3160448223352432,0.6741770654916763
618,Raheem Sterling,6,534,2,1.548158623278141,1,1.705512510612607,14,8,0,0,F M,Manchester City,2,1.548158623278141,4.684831142425537,2.563884750008583
702,Tammy Abraham,7,377,2,2.1985208615660667,1,0.23754149489104748,14,6,0,0,F S,Chelsea,2,2.1985208615660667,1.4703767076134682,0.04266921430826187
773,Aleksandar Mitrovic,8,656,2,3.7801507003605366,2,1.401346892118454,29,8,2,0,F S,Fulham,1,2.257813010364771,3.6096585132181644,0.47513631731271744
782,Ben Chilwell,5,450,2,0.9634217619895935,2,0.5391880609095097,6,11,1,0,D M,Chelsea,2,0.9634217619895935,1.4814372956752777,1.0283070392906666
1024,Tyrone Mings,6,540,2,0.9368733130395412,1,0.06867159157991409,6,2,2,0,D,Aston Villa,2,0.9368733130395412,1.1349584832787514,1.118539072573185
1653,Michael Keane,8,720,2,1.1978994309902191,0,0.13641569390892982,4,2,0,0,D,Everton,2,1.1978994309902191,2.6942376233637333,2.5578219182789326
2335,Pablo Fornals,8,668,2,2.1231321208178997,2,0.8920211596414447,13,6,1,0,F M,West Ham,2,2.1231321208178997,4.467905066907406,1.508082065731287
3428,Hélder Costa,8,632,2,0.40806394815444946,2,0.48946942016482353,8,6,0,0,M,Leeds,2,0.40806394815444946,2.6070208624005318,1.9781903959810734
4381,Mateusz Klich,8,701,2,0.9173274952918291,3,1.1019840128719807,6,14,3,0,M,Leeds,1,0.15615865774452686,4.387007035315037,3.443655051290989
4476,Callum Robinson,7,353,2,0.3286273144185543,0,0.15310035645961761,7,2,0,0,F S,West Bromwich Albion,2,0.3286273144185543,0.6949489936232567,0.21322131529450417
6055,Phil Foden,6,386,2,1.5610525757074356,0,0.195163793861866,11,3,0,0,M S,Manchester City,2,1.5610525757074356,2.0599120184779167,0.352518692612648
6681,Harvey Barnes,7,599,2,1.8387244492769241,1,0.09286501072347164,18,3,0,0,F M,Leicester,2,1.8387244492769241,1.9983194917440414,0.15940069407224655
6827,Bobby Reid,7,392,2,1.577203349210322,0,0.04560814052820206,8,1,2,0,F M S,Fulham,2,1.577203349210322,2.493865662254393,0.9166624434292316
7711,David McGoldrick,8,390,2,0.8072920758277178,0,0.44098777510225773,8,2,0,0,F S,Sheffield United,2,0.8072920758277178,1.6303147450089455,0.9478021636605263
101,Allan Saint-Maximin,7,520,1,0.7037661839276552,1,1.2464683093130589,6,5,0,0,F M,Newcastle United,1,0.7037661839276552,2.708079982548952,0.8432246781885624
447,Kevin De Bruyne,5,381,1,1.6746320240199566,2,1.5169175937771797,15,18,0,0,M S,Manchester City,0,0.9134631268680096,2.909784883260727,1.2793156802654266
482,Roberto Firmino,7,577,1,1.7996694296598434,2,1.0429942086338997,11,9,1,0,F M,Liverpool,1,1.7996694296598434,5.1821311712265015,2.830046683549881
512,Scott Dann,4,360,1,0.453367218375206,0,0,2,0,0,0,D,Crystal Palace,1,0.453367218375206,0.28455330058932304,0.28455330058932304
532,Cheikhou Kouyaté,8,720,1,0.5897091627120972,0,0.02308344841003418,3,1,0,0,D,Crystal Palace,1,0.5897091627120972,1.4917379915714264,1.4686545431613922
535,Manuel Lanzini,3,30,1,0.00966605357825756,0,0.03778643533587456,1,1,1,0,S,West Ham,1,0.00966605357825756,0,0
579,Nathan Aké,4,288,1,0.40184661746025085,0,0.017229333519935608,1,1,2,0,D S,Manchester City,1,0.40184661746025085,0.9447852000594139,0.9275558665394783
638,Kyle Walker,6,529,1,0.13952277880162,0,0.10050425678491592,6,3,0,0,D,Manchester City,1,0.13952277880162,2.666242778301239,2.489349141716957
669,Ashley Westwood,7,630,1,0.10419056378304958,0,1.1103647574782372,3,8,1,0,M,Burnley,1,0.10419056378304958,1.9038895517587662,1.3697915896773338
