multiplier,is_captain,is_vice_captain,chance_of_playing_next_round,chance_of_playing_this_round,player_code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,player_type_id,ep_next,ep_this,event_points,form,player_id,in_dreamteam,news,news_added,now_cost,photo,PPG,selected_by_percent,status,team_id,team_code,total_points,transfers_in_event,transfers_out_event,value_form,value_season,web_name,total_minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,PP90,PPMM,VAPM,team_strength,team_short_name,strength_overall_home,strength_overall_away,position_name_short
1,False,False,,,58376,0,0,0,0,1,1,4.0,4.0,0,4.0,363,False,,,45,58376.jpg,4.0,19.1,a,16,20,24,1710,598,0.9,5.3,McCarthy,540,0,0,3,9,0,0,0,0,0,12,2,113,105.2,0.0,0.0,10.6,84,12,465,38,437,35,205,12,,,,,,,4.0,0.8888888888888888,0.4444444444444444,3,SOU,1090,1120,GKP
1,False,False,,,122798,0,0,1,-1,1,2,1.8,2.8,0,1.8,255,False,,,71,122798.jpg,4.5,19.4,a,11,14,27,2972,2268,0.3,3.8,Robertson,540,1,2,1,14,0,0,0,0,0,0,4,137,152.6,162.4,114.0,43.0,29,7,14,4,42,1,21,1,1.0,,,,,,4.5,0.6338028169014085,0.3521126760563381,5,LIV,1330,1350,DEF
1,False,False,100.0,100.0,172850,1,-1,4,-4,1,2,7.3,7.3,0,6.8,232,False,,2020-10-13 20:30:13.983738,59,172850.jpg,9.0,21.4,a,5,8,27,18786,622,1.2,4.6,Chilwell,270,1,2,2,3,0,0,0,1,0,0,3,104,128.6,142.4,48.0,32.0,49,14,21,5,121,23,48,6,2.0,,,,,,9.0,1.5254237288135593,1.1864406779661016,4,CHE,1250,1280,DEF
1,False,False,,,214048,0,0,2,-2,2,2,7.2,7.7,6,7.2,470,False,,,42,214048.jpg,7.2,11.4,a,20,39,29,23981,477,1.7,6.9,Kilman,360,0,1,3,1,0,0,0,0,0,0,6,105,90.2,36.1,2.0,12.8,107,36,151,39,308,107,182,60,,,,,,,7.250000000000001,1.7142857142857142,1.2380952380952381,4,WOL,1190,1210,DEF
1,False,False,,,169187,0,0,-1,1,0,2,0.5,1.5,0,0.5,259,False,,,74,169187.jpg,2.8,33.2,a,11,14,17,1312,5369,0.1,2.3,Alexander-Arnold,538,0,1,1,14,0,0,0,1,0,0,4,120,107.0,191.8,61.0,35.9,81,27,8,2,94,14,35,3,2.0,,1.0,,,,2.8438661710037167,0.3783783783783784,0.10810810810810807,5,LIV,1330,1350,DEF
1,False,True,100.0,100.0,85971,0,0,5,-5,4,3,11.5,11.0,0,10.5,390,True,,2020-09-27 16:00:17.251688,95,85971.jpg,11.5,58.2,a,17,6,69,10117,420,1.1,7.3,Son,466,8,2,2,4,0,0,0,0,0,0,10,227,347.2,214.3,298.0,86.1,2,1,5,5,9,4,3,2,1.0,,6.0,,2.0,,13.326180257510725,1.2105263157894737,1.0,4,TOT,1270,1290,MID
2,True,False,,,118748,0,0,4,-4,1,3,5.5,6.5,0,5.5,254,True,,,124,118748.jpg,8.3,47.5,a,11,14,50,1827,1950,0.4,4.0,Salah,540,6,1,1,14,0,0,0,0,0,0,4,177,274.4,228.1,458.0,96.0,3,2,3,3,1,1,1,1,6.0,,2.0,,2.0,,8.333333333333332,0.6693548387096775,0.5080645161290323,5,LIV,1330,1350,MID
1,False,False,,,114283,0,0,3,-3,1,3,6.5,7.0,0,7.0,37,False,,,73,114283.jpg,7.8,28.6,a,2,7,39,8222,3306,1.0,5.3,Grealish,450,3,3,3,5,0,0,0,1,0,0,3,139,206.8,187.0,237.0,63.0,11,6,9,7,13,5,7,6,3.0,,7.0,,3.0,,7.8000000000000025,1.0684931506849316,0.7945205479452054,3,AVL,1130,1150,MID
1,False,False,,,200439,0,0,-2,2,1,4,5.2,5.2,0,5.2,377,False,,,58,200439.jpg,4.8,2.2,a,16,20,29,1419,246,0.9,5.0,Adams,495,2,2,3,8,0,0,0,1,0,0,4,87,133.2,70.7,213.0,41.8,48,11,83,10,18,12,25,14,,,,,,,5.272727272727273,0.8275862068965517,0.4827586206896552,3,SOU,1090,1120,FWD
1,False,False,,,102057,0,0,0,0,0,4,5.2,5.7,2,5.2,460,False,,,85,102057.jpg,5.0,19.2,a,20,39,35,795,6093,0.6,4.1,Jiménez,630,4,0,4,8,1,0,0,0,0,0,7,127,166.6,65.8,224.0,45.8,23,7,91,12,14,9,17,8,,,,,1.0,,5.0,0.5882352941176471,0.35294117647058826,4,WOL,1190,1210,FWD
