chance_of_playing_next_round,chance_of_playing_this_round,player_code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,player_type_id,ep_next,ep_this,event_points,first_name,form,player_id,in_dreamteam,news,news_added,now_cost,photo,PPG,second_name,selected_by_percent,status,team_id,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,total_minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,PP90,PPMM,VAPM
100.0,100.0,80201,0,0,-5,5,0,1,0.0,1.0,0,Bernd,0.0,1,False,,2022-02-11 08:00:15.144286,45,80201.jpg,1.3,Leno,0.8,a,1,3,4,63992,230,188839,354,0.0,0.9,Leno,270,0,0,0,9,0,0,0,0,0,9,0,48,79.0,0.0,0.0,7.9,363,29,595,69,575,60,418,30,,,,,,,1.3333333333333335,0.2888888888888889,-0.15555555555555556
0.0,0.0,115918,0,0,0,0,0,1,0.0,0.0,0,Rúnar Alex,0.0,2,False,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31 22:00:09.069158,40,115918.jpg,0.0,Rúnarsson,0.6,u,1,3,0,19017,0,77553,231,0.0,0.0,Rúnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,517,53,505,32,466,19,521,53,,,,,,,,0.0,-0.5
0.0,0.0,47431,0,0,-2,2,0,3,0.0,0.0,0,Willian,0.0,3,False,Transferred to Corinthians,2021-08-20 09:30:14.065783,63,47431.jpg,0.0,Borges Da Silva,0.1,u,1,3,0,914,0,20452,6,0.0,0.0,Willian,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,706,292,706,292,706,292,706,292,,,,,,,,0.0,-0.31746031746031744
0.0,0.0,54694,0,0,-4,4,0,4,0.0,0.0,0,Pierre-Emerick,0.0,4,False,Left club by mutual consent,2022-02-02 08:21:28.428217,96,54694.jpg,3.1,Aubameyang,1.3,u,1,3,44,742898,0,891530,1572,0.0,4.6,Aubameyang,1036,4,1,6,16,0,0,2,3,0,0,7,131,217.6,132.4,582.0,92.9,229,28,193,30,28,13,82,21,,,,,,,3.8223938223938223,0.3229166666666667,0.11458333333333334
100.0,100.0,58822,0,0,-3,3,0,2,0.0,7.6,4,Cédric,3.3,5,False,,2022-01-13 23:00:13.573747,42,58822.jpg,1.7,Soares,0.2,a,1,3,12,15728,378,26746,296,0.8,2.9,Cédric,469,0,0,1,10,0,0,0,1,0,0,0,80,75.0,92.8,23.0,19.1,368,142,237,63,362,133,360,126,,,,,,,2.302771855010661,0.4047619047619047,-0.07142857142857144
100.0,100.0,59966,0,0,-2,2,1,4,0.0,9.0,7,Alexandre,4.0,6,False,,2021-08-13 14:30:14.582063,83,59966.jpg,3.2,Lacazette,5.1,a,1,3,60,1129984,10438,864346,38872,0.5,7.2,Lacazette,1191,3,5,8,8,0,0,1,0,0,0,3,205,278.8,286.8,485.0,105.0,174,17,82,12,48,20,60,15,,,,,2.0,,4.534005037783375,0.38554216867469876,0.14457831325301207
100.0,100.0,84450,0,0,-2,2,0,3,0.0,5.0,4,Granit,2.0,7,False,,2022-01-10 00:00:11.840953,48,84450.jpg,1.8,Xhaka,0.3,a,1,3,24,27414,274,86752,316,0.4,5.0,Xhaka,1085,0,1,4,17,0,0,0,5,1,0,0,135,161.6,187.7,91.0,44.0,277,114,153,95,252,132,246,114,,,4.0,,,,1.9907834101382489,0.375,-0.04166666666666666
0.0,0.0,92371,0,0,-3,3,0,2,0.0,0.0,0,Pablo,0.0,8,False,Joined Udinese on loan until the end of the season - Expected back 01 Jul,2022-01-20 22:30:17.110379,42,92371.jpg,0.5,Marí,0.1,u,1,3,1,5760,0,14707,62,0.0,0.2,Marí,180,0,0,0,4,0,0,0,1,0,0,0,35,55.4,12.3,11.0,7.9,386,148,401,148,388,144,417,152,,,,,,,0.5,0.11904761904761904,-0.35714285714285715
0.0,0.0,98745,0,0,-2,2,0,2,0.0,0.0,0,Héctor,0.0,9,False,Joined Real Betis on a season-long loan - Expected back 01 Jul,2021-08-31 22:00:09.090880,48,98745.jpg,0.0,Bellerín,0.2,u,1,3,0,3737,0,70457,43,0.0,0.0,Bellerín,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,670,237,669,237,657,236,670,237,,,,,,,,0.0,-0.4166666666666667
0.0,0.0,111457,0,0,-3,3,0,2,0.0,0.0,0,Sead,0.0,11,False,Contract ended by mutual consent,2022-01-13 23:00:13.612208,42,111457.jpg,0.0,Kolasinac,0.1,u,1,3,0,3727,0,11461,41,0.0,0.0,Kolasinac,91,0,0,0,5,0,0,0,1,0,0,0,6,4.2,0.2,0.0,0.4,472,175,468,175,519,212,488,175,,,,,,,0.0,0.0,-0.47619047619047616
