chance_of_playing_next_round,chance_of_playing_this_round,player_code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,player_type_id,ep_next,ep_this,event_points,first_name,form,player_id,in_dreamteam,news,news_added,now_cost,photo,PPG,second_name,selected_by_percent,status,team_id,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,total_minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,PP90,PPMM,VAPM,team_strength,team_short_name,strength_overall_home,strength_overall_away,position_name_short
100.0,75.0,80201,0,0,-5,5,0,1,1.0,0.0,0,Bernd,0.0,1,False,,2022-02-11 08:00:15.144286,45,80201.jpg,1.3,Leno,0.8,a,1,3,4,63708,122,188369,721,0.0,0.9,Leno,270,0,0,0,9,0,0,0,0,0,9,0,48,79.0,0.0,0.0,7.9,351,29,590,67,569,59,413,30,,,,,,,1.3333333333333337,0.2888888888888889,-0.1555555555555555,4,ARS,1210,1270,GKP
0.0,0.0,115918,0,0,0,0,0,1,0.0,0.0,0,Rúnar Alex,0.0,2,False,Joined OH Leuven on a season-long loan - Expected back 01 Jul,2021-08-31 22:00:09.069158,40,115918.jpg,0.0,Rúnarsson,0.6,u,1,3,0,19017,0,77065,665,0.0,0.0,Rúnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,515,53,502,31,462,19,519,53,,,,,,,,0.0,-0.5,4,ARS,1210,1270,GKP
0.0,0.0,463748,0,0,0,0,0,1,0.0,0.0,0,Karl,0.0,532,False,Joined Reading on loan until the end of the season - Expected back 01 Jul,2022-01-24 22:30:12.592957,40,463748.jpg,0.0,Hein,0.4,u,1,3,0,50944,0,38656,1144,0.0,0.0,Hein,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,545,66,532,44,493,32,549,66,,,,,,,,0.0,-0.5,4,ARS,1210,1270,GKP
,,225321,0,0,6,-6,3,1,18.0,0.0,0,Aaron,8.5,559,False,,,51,225321.jpg,5.3,Ramsdale,21.1,a,1,3,101,2469128,155483,813815,17457,1.7,19.8,Ramsdale,1710,0,0,11,16,0,0,0,1,0,60,12,431,442.8,1.0,0.0,44.4,46,12,445,10,679,74,233,12,,,,,,,5.315789473684211,1.03921568627451,0.6470588235294118,4,ARS,1210,1270,GKP
,,220682,0,0,-1,1,0,1,1.0,0.0,0,Arthur,0.0,572,False,,,39,220682.jpg,0.0,Okonkwo,0.4,a,1,3,0,46901,6685,17361,3294,0.0,0.0,Okonkwo,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,501,46,485,21,444,9,505,46,,,,,,,,0.0,-0.5128205128205129,4,ARS,1210,1270,GKP
0.0,0.0,79852,0,0,-1,1,0,1,0.0,0.0,0,Jed,0.0,28,False,Joined Luton Town on loan until the end of the season - Expected back 01 Jul,2022-01-31 18:00:10.386198,39,79852.jpg,1.0,Steer,2.3,u,2,7,1,325469,0,241505,8375,0.0,0.3,Steer,90,0,0,0,3,0,0,0,0,0,1,0,13,8.2,0.0,0.0,0.8,458,38,480,17,439,5,476,38,,,,,,,1.0,0.2564102564102564,-0.2564102564102564,3,AVL,1130,1160,GKP
100.0,100.0,98980,0,0,0,0,1,1,3.5,3.0,2,Emiliano,3.0,30,False,,2021-10-13 23:00:12.628419,55,98980.jpg,3.6,Martínez,12.0,a,2,7,79,598417,5048,2174475,26670,0.5,14.4,Martínez,1980,0,0,6,33,0,1,0,3,0,61,7,401,522.6,0.0,0.0,52.1,20,7,691,79,691,79,205,8,,,,,,,3.590909090909091,0.6545454545454545,0.2909090909090909,3,AVL,1130,1160,GKP
,,248164,0,0,0,0,0,1,0.5,0.0,0,Viljami,0.0,596,False,,,40,248164.jpg,0.0,Sinisalo,0.1,a,2,7,0,7727,167,5337,105,0.0,0.0,Sinisalo,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,530,61,517,39,477,27,534,61,,,,,,,,0.0,-0.5,3,AVL,1130,1160,GKP
0.0,0.0,462381,0,0,0,0,0,1,0.0,0.0,0,Filip,0.0,650,False,Season long loan to Marschall,2022-02-09 11:09:25.609893,40,462381.jpg,0.0,Marschall,0.0,u,2,7,0,933,0,567,64,0.0,0.0,Marschall,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,543,65,530,43,491,31,547,65,,,,,,,,0.0,-0.5,3,AVL,1130,1160,GKP
,,111782,0,0,0,0,0,1,0.5,0.0,0,Robin,0.0,691,False,,,40,111782.jpg,0.0,Olsen,0.0,a,2,7,0,1316,220,352,84,0.0,0.0,Olsen,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,514,52,501,30,461,18,518,52,,,,,,,,0.0,-0.5,3,AVL,1130,1160,GKP
100.0,100.0,154561,0,0,-2,2,1,1,3.0,3.5,10,David,4.0,80,False,,2021-10-26 22:00:11.833421,43,154561.jpg,4.2,Raya Martin,3.2,a,3,94,46,941277,9149,993460,3368,0.9,10.7,Raya,990,0,0,4,11,0,0,0,0,0,30,4,219,246.8,0.0,0.0,24.5,185,22,557,53,523,42,324,22,,,,,,,4.181818181818182,0.9767441860465116,0.5116279069767442,2,BRE,1060,1070,GKP
0.0,0.0,235448,0,0,0,0,0,1,0.0,0.0,0,Ellery,0.0,92,False,Season long loan to Burton Albion,2021-07-08 07:34:45.360782,40,235448.jpg,0.0,Balcombe,0.0,u,3,94,0,0,0,728,3,0.0,0.0,Balcombe,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,527,59,514,37,474,25,531,59,,,,,,,,0.0,-0.5,2,BRE,1060,1070,GKP
0.0,0.0,434024,0,0,-1,1,0,1,0.0,0.0,0,Patrik,0.0,94,False,Transferred to Viking Fotballklubb,2022-01-31 15:30:11.481244,39,434024.jpg,0.0,Gunnarsson,1.4,u,3,94,0,158906,0,149046,3916,0.0,0.0,Gunnarsson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,504,47,488,22,448,10,508,47,,,,,,,,0.0,-0.5128205128205129,2,BRE,1060,1070,GKP
,,240796,0,0,0,0,0,1,-1.0,-0.5,0,Álvaro,0.0,556,False,,,45,240796.jpg,2.6,Fernández,0.7,a,3,94,31,161184,294,111223,4786,0.0,6.9,Fernández,1080,0,0,1,24,1,0,0,0,0,49,2,218,353.2,0.0,0.0,35.2,101,17,620,71,602,63,273,17,,,,,,,2.583333333333333,0.5777777777777778,0.1333333333333333,2,BRE,1060,1070,GKP
