id,name,deadline_time,average_entry_score,finished,data_checked,highest_scoring_entry,deadline_time_epoch,deadline_time_game_offset,highest_score,is_previous,is_current,is_next,cup_leagues_created,h2h_ko_matches_created,chip_plays,most_selected,most_transferred_in,top_element,top_element_info,transfers_made,most_captained,most_vice_captained
1,Gameweek 1,2021-08-13T17:30:00Z,69,True,True,5059647.0,1628875800,0,150.0,False,False,False,False,False,"[{'chip_name': 'bboost', 'num_played': 145658}, {'chip_name': '3xc', 'num_played': 225749}]",275.0,1.0,277.0,"{'id': 277, 'points': 20}",0,233.0,277.0
2,Gameweek 2,2021-08-21T10:00:00Z,56,True,True,6882931.0,1629540000,0,146.0,False,False,False,False,False,"[{'chip_name': 'bboost', 'num_played': 95038}, {'chip_name': 'freehit', 'num_played': 102410}, {'chip_name': 'wildcard', 'num_played': 277209}, {'chip_name': '3xc', 'num_played': 269514}]",277.0,272.0,142.0,"{'id': 142, 'points': 18}",12038724,233.0,277.0
3,Gameweek 3,2021-08-28T10:00:00Z,54,True,True,7516002.0,1630144800,0,119.0,False,False,False,False,False,"[{'chip_name': 'bboost', 'num_played': 94049}, {'chip_name': 'freehit', 'num_played': 117627}, {'chip_name': 'wildcard', 'num_played': 372083}, {'chip_name': '3xc', 'num_played': 138714}]",277.0,419.0,268.0,"{'id': 268, 'points': 18}",15553648,277.0,277.0
4,Gameweek 4,2021-09-11T10:00:00Z,57,True,True,7797969.0,1631354400,0,120.0,False,False,False,False,False,"[{'chip_name': 'bboost', 'num_played': 77204}, {'chip_name': 'freehit', 'num_played': 168976}, {'chip_name': 'wildcard', 'num_played': 1117718}, {'chip_name': '3xc', 'num_played': 157121}]",233.0,579.0,432.0,"{'id': 432, 'points': 13}",28985870,233.0,233.0
5,Gameweek 5,2021-09-17T17:30:00Z,55,True,True,3139954.0,1631899800,0,144.0,False,False,False,False,False,"[{'chip_name': 'bboost', 'num_played': 49533}, {'chip_name': 'freehit', 'num_played': 127510}, {'chip_name': 'wildcard', 'num_played': 708431}, {'chip_name': '3xc', 'num_played': 104192}]",233.0,579.0,44.0,"{'id': 44, 'points': 15}",18706283,233.0,579.0
6,Gameweek 6,2021-09-25T10:00:00Z,43,True,True,1367510.0,1632564000,0,117.0,False,False,False,False,False,"[{'chip_name': 'bboost', 'num_played': 76495}, {'chip_name': 'freehit', 'num_played': 98223}, {'chip_name': 'wildcard', 'num_played': 308300}, {'chip_name': '3xc', 'num_played': 134785}]",233.0,413.0,36.0,"{'id': 36, 'points': 15}",13021763,579.0,233.0
7,Gameweek 7,2021-10-02T10:00:00Z,38,True,True,8298401.0,1633168800,0,102.0,False,False,False,False,False,"[{'chip_name': 'bboost', 'num_played': 58931}, {'chip_name': 'freehit', 'num_played': 89810}, {'chip_name': 'wildcard', 'num_played': 292085}, {'chip_name': '3xc', 'num_played': 75135}]",233.0,127.0,190.0,"{'id': 190, 'points': 15}",12625013,579.0,233.0
8,Gameweek 8,2021-10-16T10:00:00Z,49,True,True,8392863.0,1634378400,0,122.0,False,False,False,False,False,"[{'chip_name': 'bboost', 'num_played': 54764}, {'chip_name': 'freehit', 'num_played': 74544}, {'chip_name': 'wildcard', 'num_played': 274188}, {'chip_name': '3xc', 'num_played': 102108}]",233.0,256.0,228.0,"{'id': 228, 'points': 20}",12142633,233.0,579.0
9,Gameweek 9,2021-10-22T17:30:00Z,64,True,True,8103512.0,1634923800,0,165.0,False,False,False,False,False,"[{'chip_name': 'bboost', 'num_played': 46614}, {'chip_name': 'freehit', 'num_played': 85712}, {'chip_name': 'wildcard', 'num_played': 167651}, {'chip_name': '3xc', 'num_played': 49975}]",233.0,205.0,138.0,"{'id': 138, 'points': 24}",11147906,233.0,233.0
10,Gameweek 10,2021-10-30T10:00:00Z,42,True,True,8257657.0,1635588000,0,116.0,False,False,False,False,False,"[{'chip_name': 'bboost', 'num_played': 50931}, {'chip_name': 'freehit', 'num_played': 96697}, {'chip_name': 'wildcard', 'num_played': 189850}, {'chip_name': '3xc', 'num_played': 156449}]",233.0,138.0,142.0,"{'id': 142, 'points': 21}",12690241,,
11,Gameweek 11,2021-11-05T18:30:00Z,42,True,True,282096.0,1636137000,0,116.0,False,False,False,False,False,"[{'chip_name': 'bboost', 'num_played': 68950}, {'chip_name': 'freehit', 'num_played': 58097}, {'chip_name': 'wildcard', 'num_played': 96628}, {'chip_name': '3xc', 'num_played': 46698}]",233.0,142.0,256.0,"{'id': 256, 'points': 14}",9011081,233.0,579.0
