multiplier,is_captain,is_vice_captain,chance_of_playing_next_round,chance_of_playing_this_round,player_code,cost_change_event,cost_change_event_fall,cost_change_start,cost_change_start_fall,dreamteam_count,player_type_id,ep_next,ep_this,event_points,first_name,form,player_id,in_dreamteam,news,news_added,now_cost,photo,PPG,second_name,selected_by_percent,status,team_id,team_code,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,total_minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type,corners_and_indirect_freekicks_order,corners_and_indirect_freekicks_text,direct_freekicks_order,direct_freekicks_text,penalties_order,penalties_text,PP90,PPMM,VAPM,team_strength,team_short_name,strength_overall_home,strength_overall_away,position_name_short
2,True,False,,,51940,0,0,3,-3,2,1,5.0,10.0,10,David,4.5,270,False,,,53,51940.jpg,4.1,de Gea,14.1,a,13,1,102,1791541,11681,903578,110190,0.8,19.2,de Gea,2250,0,0,6,32,0,2,0,0,0,91,7,473,703.6,0.3,0.0,70.1,2,1,465,11,681,76,142,1,,,,,,,4.08,0.7735849056603773,0.3962264150943396,4,MUN,1210,1270,GKP
1,False,False,,,179268,0,0,1,-1,1,2,3.5,6.0,7,Marc,3.0,584,False,,,51,179268.jpg,3.8,Cucurella,4.0,a,4,36,79,631379,14083,280784,30380,0.6,15.5,Cucurella,1829,0,1,7,20,0,0,0,3,0,0,14,393,370.2,429.4,95.0,89.6,86,34,30,6,242,65,78,10,,,,,,,3.887370147621652,0.7450980392156863,0.3529411764705882,3,BHA,1130,1130,DEF
1,False,False,100.0,100.0,169187,0,0,10,-10,5,2,11.9,6.2,6,Trent,4.7,237,True,,2022-01-10 00:00:12.679276,85,169187.jpg,7.1,Alexander-Arnold,48.4,a,11,14,156,3936883,70158,2551201,18825,0.6,18.4,Alexander-Arnold,1953,2,10,12,17,0,0,0,1,0,0,28,629,641.6,1016.6,375.0,203.6,4,1,1,1,62,2,4,1,1.0,,1.0,,,,7.188940092165898,0.8352941176470587,0.6,5,LIV,1330,1350,DEF
1,False,False,100.0,100.0,199249,-1,1,3,-3,2,2,1.1,0.3,0,Sergio,0.3,370,False,,2021-12-06 00:00:17.779296,53,199249.jpg,4.1,Reguilón,14.9,a,17,6,78,3004200,20992,2120898,117148,0.1,14.7,Reguilón,1443,1,3,7,20,0,0,0,3,0,0,9,339,370.6,378.0,253.0,100.3,85,33,47,10,111,13,58,5,3.0,,,,,,4.864864864864865,0.7735849056603773,0.3962264150943396,4,TOT,1210,1270,DEF
1,False,True,,,178186,1,-1,6,-6,4,3,9.2,9.2,13,Jarrod,8.7,420,True,,,71,178186.jpg,5.9,Bowen,32.9,a,19,21,148,3682405,198025,836675,44928,1.2,20.8,Bowen,2128,8,13,6,32,0,0,0,2,0,0,16,432,614.2,492.7,930.0,203.8,9,4,18,13,6,4,3,3,2.0,,,,,,6.2593984962406015,0.8309859154929579,0.5492957746478874,4,WHU,1200,1200,MID
1,False,False,100.0,100.0,61366,-2,2,0,0,2,3,6.8,7.8,0,Kevin,6.3,251,False,,2021-11-19 14:30:18.601803,120,61366.jpg,5.4,De Bruyne,10.6,a,12,43,97,2033907,15304,1277373,343900,0.5,8.1,De Bruyne,1182,7,2,8,10,0,0,0,0,0,0,18,354,482.2,612.2,487.0,158.4,35,14,4,3,44,25,18,13,1.0,,2.0,,2.0,,7.385786802030458,0.45,0.2833333333333334,5,MCI,1350,1370,MID
1,False,False,25.0,100.0,194634,0,0,10,-10,2,3,4.3,8.8,1,Diogo,7.3,240,True,Ankle injury - 25% chance of playing,2022-02-16 23:00:18.672553,85,194634.jpg,5.5,Jota,30.4,d,11,14,126,5911720,90238,4156388,852270,0.9,14.8,Jota,1654,12,3,11,14,0,0,0,1,0,0,5,352,541.6,377.1,998.0,190.8,15,6,48,35,4,3,6,5,,,,,,,6.856106408706168,0.6470588235294118,0.4117647058823529,5,LIV,1330,1350,MID
1,False,False,,,84583,1,-1,3,-3,1,3,7.5,7.0,2,Philippe,7.0,681,False,,,73,84583.jpg,6.8,Coutinho Correia,18.2,a,2,7,27,1831292,189810,166694,61002,1.0,3.7,Coutinho,262,2,2,1,4,0,0,0,0,0,0,3,83,120.0,62.9,100.0,28.3,315,131,270,153,233,127,307,142,3.0,,2.0,,,,9.274809160305344,0.9315068493150684,0.6575342465753424,3,AVL,1130,1160,MID
1,False,False,100.0,100.0,78007,0,0,4,-4,2,4,2.6,1.3,2,Joshua,1.8,468,False,,2021-10-02 17:30:10.652169,59,78007.jpg,3.4,King,8.5,a,18,57,72,1802260,36324,1125702,42421,0.3,12.2,King,1716,5,4,1,32,0,0,0,4,0,0,5,242,356.0,371.0,614.0,134.3,97,8,51,4,20,9,28,8,,,,,3.0,,3.7762237762237763,0.5762711864406779,0.2372881355932203,2,WAT,1050,1050,FWD
1,False,False,100.0,100.0,230251,-1,1,11,-11,4,4,0.0,0.0,1,Emmanuel,0.5,450,False,,2022-01-07 16:00:18.575672,61,230251.jpg,4.6,Dennis,36.3,a,18,57,96,5783169,79963,2808264,118785,0.1,15.7,Dennis,1643,8,6,1,35,0,0,0,7,1,0,16,332,480.4,300.4,641.0,142.0,36,2,70,9,17,8,24,6,,,1.0,,,,5.258673158855752,0.7540983606557377,0.4262295081967213,2,WAT,1050,1050,FWD
