chance_of_playing_next_round,chance_of_playing_this_round,player_code,cost_change_start,position_id,ep_next,ep_this,event_points,first_name,player_id,player_news,news_added,player_price,photo,second_name,selected_by_percent,player_status,team_id,team_code_id,total_points,transfers_in,transfers_in_event,transfers_out,transfers_out_event,value_form,value_season,web_name,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,influence_rank,influence_rank_type,creativity_rank,creativity_rank_type,threat_rank,threat_rank_type,ict_index_rank,ict_index_rank_type
0.0,0.0,69140,-4,2,0.0,0.0,0,Shkodran,1,Hamstring injury - Unknown return date,2020-07-18 22:30:20.553834,5.1,69140.jpg,Mustafi,0.4,i,1,3,43,25007,0,47630,0,0.3,8.4,Mustafi,1205,0,2,4,17,0,0,0,2,0,0,2,242,277.2,45.5,155.0,47.9,257,100,352,122,234,58,313,106
100.0,100.0,98745,-3,2,2.3,2.1,0,Héctor,2,,2019-12-09 20:00:21.228098,5.2,98745.jpg,Bellerín,1.0,a,1,3,44,206616,0,159819,0,0.3,8.5,Bellerín,1156,1,0,4,18,0,0,0,2,0,0,4,204,187.8,76.9,103.0,37.0,322,124,301,95,275,81,339,122
100.0,100.0,111457,-3,2,3.3,3.1,1,Sead,3,,2020-02-23 18:30:13.672943,5.2,111457.jpg,Kolasinac,0.5,a,1,3,55,65194,0,134275,0,0.5,10.6,Kolasinac,1694,0,2,4,26,0,0,0,4,0,0,1,331,269.6,182.5,81.0,53.0,264,104,215,52,305,98,293,96
100.0,100.0,154043,-5,2,0.8,0.9,1,Ainsley,4,,2019-09-22 18:00:10.824841,4.5,154043.jpg,Maitland-Niles,2.2,a,1,3,41,610816,0,653555,0,0.1,9.1,Maitland-Niles,1382,0,2,3,22,0,0,0,4,1,0,3,244,301.8,182.0,58.0,53.6,241,94,216,53,337,119,287,94
100.0,100.0,39476,-2,2,0.5,0.5,0,Sokratis,5,,2020-06-18 18:00:15.974146,4.8,39476.jpg,Papastathopoulos,1.3,a,1,3,57,182201,0,231413,0,0.0,11.9,Sokratis,1696,2,0,4,25,0,0,0,6,0,0,5,305,436.2,36.8,110.0,58.5,166,62,365,130,266,76,275,88
0.0,0.0,38411,0,2,0.0,0.0,0,Nacho,6,Joined Real Sociedad on a permanent deal on 31/8,2019-08-31 11:30:14.661839,5.0,38411.jpg,Monreal,0.2,u,1,3,10,28283,0,89310,0,0.0,2.0,Monreal,270,0,0,1,4,0,0,0,0,0,0,1,54,47.2,40.8,12.0,10.0,424,160,358,126,412,152,423,156
0.0,0.0,51507,0,2,0.0,0.0,0,Laurent,7,Joined Bordeaux on a permanent deal on 6/8.,2019-08-08 11:00:09.045030,5.0,51507.jpg,Koscielny,0.1,u,1,3,0,782,0,12898,0,0.0,0.0,Koscielny,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,647,221,643,221,639,220,649,221
0.0,0.0,233963,-2,2,0.0,0.0,0,Konstantinos,8,Joined Stuttgart on loan until the end of the 2020/21 season on 16/7. - Expected back 01 Jul,2020-01-13 14:30:21.309535,4.3,233963.jpg,Mavropanos,0.0,n,1,3,0,1185,0,5056,0,0.0,0.0,Mavropanos,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,585,217,572,217,552,211,587,217
0.0,0.0,80254,0,2,0.0,0.0,0,Carl,9,Joined Nottingham Forest on a permanent deal on 7/8.,2019-08-07 17:00:10.875251,4.5,80254.jpg,Jenkinson,0.0,u,1,3,0,534,0,2720,0,0.0,0.0,Jenkinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,599,218,590,218,575,214,602,218
100.0,100.0,156074,-1,2,1.3,1.2,0,Rob,10,,2019-12-09 10:00:19.335279,4.4,156074.jpg,Holding,0.2,a,1,3,16,28501,0,22667,0,0.2,3.6,Holding,580,0,0,1,9,0,0,0,1,0,0,2,96,133.6,4.8,19.0,15.8,355,138,441,164,396,145,407,150
