multiplier,is_captain,is_vice_captain,chance_of_playing_next_round,chance_of_playing_this_round,position_id,ep_next,ep_this,player_id,player_news,news_added,player_price,selected_by_percent,player_status,team_id,web_name
1,False,False,100.0,100.0,1,5.7,5.1,93,,2019-07-31 00:00:11.182051,5.2,23.1,a,5,Pope
1,False,False,100.0,100.0,2,4.7,4.3,182,,2019-10-22 15:00:19.720774,7.7,39.1,a,10,Alexander-Arnold
1,False,False,100.0,100.0,2,3.8,3.5,141,,2020-02-23 19:00:12.788850,5.9,13.4,a,8,Digne
1,False,False,,,2,5.5,4.9,331,,,5.3,5.0,a,17,Alderweireld
1,False,True,100.0,100.0,3,7.0,6.6,219,,2020-02-19 22:00:17.062940,7.5,9.1,a,11,David Silva
2,True,False,100.0,100.0,3,12.5,12.1,214,,2020-02-02 19:00:22.102540,12.0,23.2,a,11,Sterling
1,False,False,,,3,9.8,10.1,618,,,9.0,28.4,a,12,Fernandes
1,False,False,100.0,100.0,3,4.5,5.4,217,,2020-01-27 16:30:23.592705,8.6,10.1,a,11,Mahrez
1,False,False,100.0,100.0,4,8.0,7.2,234,,2020-07-15 17:00:22.587195,4.8,26.9,a,12,Greenwood
1,False,False,100.0,100.0,4,3.5,4.4,91,,2020-06-07 00:30:14.067961,6.2,2.4,a,5,Wood
1,False,False,,,4,6.2,6.4,313,,,7.6,31.4,a,16,Ings
0,False,False,,,1,0.5,0.5,641,,,4.0,0.0,a,5,Jensen
0,False,False,100.0,100.0,3,5.7,5.8,465,,2019-08-31 16:30:09.941826,5.2,1.8,a,2,Trézéguet
0,False,False,100.0,100.0,2,5.8,5.1,295,,2020-06-21 14:30:21.128190,4.7,7.1,a,15,Egan
0,False,False,100.0,100.0,2,0.5,0.5,583,,2020-06-15 16:00:16.549558,3.9,1.3,a,17,Tanganga
