fixture_id,opponent_team_id,total_points,was_home,kickoff_time,team_h_score,team_a_score,gameweek_id,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,player_price,transfers_balance,selected,transfers_in,transfers_out,team_id,opponent_strength,opponent_team_name,player_id,web_name,position_id,player_price
10,13,0,False,2019-08-11 13:00:00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,33117,0,0,13,3,NEW,1,Mustafi,2,5.1
2,15,0,True,2019-08-10 14:00:00,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,8835,0,0,15,3,SHU,446,Stacey,2,4.3
4,8,2,True,2019-08-10 14:00:00,0,0,1,90,0,0,1,0,0,0,0,1,0,0,0,-2,1.6,14.8,0.0,1.6,70,0,495302,0,0,8,3,EVE,134,Milivojevic,3,6.7
4,8,1,True,2019-08-10 14:00:00,0,0,1,25,0,0,0,0,0,0,0,0,0,0,0,1,4.4,0.8,32.0,3.7,70,0,1082439,0,0,8,3,EVE,133,Zaha,3,6.6
6,2,0,True,2019-08-10 16:30:00,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,85,0,38989,0,0,2,2,AVL,344,Alli,3,8.3
4,8,0,True,2019-08-10 14:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,63901,0,0,8,3,EVE,132,Hennessey,1,4.2
3,16,14,True,2019-08-10 14:00:00,3,0,1,90,0,2,1,0,0,0,0,0,0,0,2,43,56.8,25.1,1.0,8.3,45,0,9332,0,0,16,3,SOU,447,Pieters,2,4.3
4,8,6,True,2019-08-10 14:00:00,0,0,1,90,0,0,1,0,0,0,0,0,0,2,0,24,14.0,0.0,0.0,1.4,50,0,22626,0,0,8,3,EVE,131,Guaita,1,4.9
4,8,1,True,2019-08-10 14:00:00,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.5,2.0,0.2,45,0,280588,0,0,8,3,EVE,130,Wickham,4,4.3
10,13,2,False,2019-08-11 13:00:00,0,1,1,83,0,0,1,0,0,0,0,1,0,0,0,0,0.2,19.4,22.0,4.2,70,0,126595,0,0,13,3,NEW,16,Mkhitaryan,3,6.7
4,8,2,True,2019-08-10 14:00:00,0,0,1,82,0,0,1,0,0,0,0,0,0,0,0,9,9.6,15.0,2.0,2.7,60,0,56054,0,0,8,3,EVE,129,Benteke,4,5.7
10,1,2,True,2019-08-11 13:00:00,0,1,1,90,0,0,0,1,0,0,0,0,0,0,0,14,11.6,32.5,0.0,4.4,55,0,32906,0,0,1,4,ARS,251,Ritchie,2,5.3
5,20,3,True,2019-08-11 13:00:00,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,21,12.0,30.7,37.0,8.0,65,0,327240,0,0,20,4,WOL,448,Tielemans,3,6.1
4,8,6,True,2019-08-10 14:00:00,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,24,25.8,0.0,0.0,2.6,40,0,1343781,0,0,8,3,EVE,128,Kelly,2,4.1
6,2,5,True,2019-08-10 16:30:00,3,1,1,90,0,1,0,1,0,0,0,0,0,0,0,19,24.4,39.4,32.0,9.6,75,0,608669,0,0,2,2,AVL,345,Lucas Moura,3,7.0
7,18,0,False,2019-08-10 14:00:00,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,16261,0,0,18,3,WAT,516,Mooy,3,4.7
4,8,6,True,2019-08-10 14:00:00,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,20,8.6,0.1,67.0,7.6,45,0,13571,0,0,8,3,EVE,127,Dann,2,4.3
7,4,0,True,2019-08-10 14:00:00,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,60,0,8949,0,0,4,2,BHA,512,Welbeck,4,5.8
4,8,3,True,2019-08-10 14:00:00,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,14,10.0,11.7,0.0,2.2,60,0,212703,0,0,8,3,EVE,135,Townsend,3,5.6
3,16,0,True,2019-08-10 14:00:00,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,3785,0,0,16,3,SOU,495,Peacock-Farrell,1,4.3
6,2,1,True,2019-08-10 16:30:00,3,1,1,26,0,0,0,0,0,0,0,0,0,0,0,10,12.6,40.8,18.0,7.1,90,0,370921,0,0,2,2,AVL,343,Eriksen,3,8.6
4,8,2,True,2019-08-10 14:00:00,0,0,1,90,0,0,1,0,0,0,0,1,0,0,0,5,12.0,1.0,55.0,6.8,55,0,8467,0,0,8,3,EVE,136,Meyer,3,5.2
4,7,6,False,2019-08-10 14:00:00,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,20,20.6,3.3,19.0,4.3,55,0,192717,0,0,7,3,CRY,144,Coleman,2,5.3
4,7,1,False,2019-08-10 14:00:00,0,0,1,21,0,0,0,0,0,0,0,0,0,0,0,4,1.0,1.2,0.0,0.2,70,0,401577,0,0,7,3,CRY,496,Kean,4,6.3
6,2,0,True,2019-08-10 16:30:00,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,15962,0,0,2,2,AVL,341,Gazzaniga,1,4.1
4,7,8,False,2019-08-10 14:00:00,0,0,1,90,0,0,1,0,0,0,0,0,0,0,2,26,24.8,0.5,0.0,2.5,55,0,159291,0,0,7,3,CRY,143,Keane,2,5.2
5,9,1,False,2019-08-11 13:00:00,0,0,1,14,0,0,0,0,0,0,0,0,0,0,0,-1,5.4,0.0,0.0,0.5,60,0,82601,0,0,9,3,LEI,487,Cutrone,4,5.4
4,7,9,False,2019-08-10 14:00:00,0,0,1,90,0,0,1,0,0,0,0,0,0,0,3,32,19.6,0.8,0.0,2.0,55,0,39761,0,0,7,3,CRY,142,Mina,2,5.3
4,7,6,False,2019-08-10 14:00:00,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,17,6.4,16.4,22.0,4.5,60,0,1405926,0,0,7,3,CRY,141,Digne,2,5.9
8,19,3,False,2019-08-10 11:30:00,0,5,1,90,0,0,1,0,0,0,0,0,0,0,0,15,12.2,3.1,0.0,1.5,55,0,72406,0,0,19,2,WHU,443,Rodrigo,3,5.3
7,4,0,True,2019-08-10 14:00:00,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,65,0,22066,0,0,4,2,BHA,525,Sarr,3,5.9
1,14,1,True,2019-08-09 19:00:00,4,1,1,51,0,0,0,1,0,0,0,0,0,2,0,7,10.6,0.0,0.0,1.1,45,0,0,0,0,14,2,NOR,526,Adrián,1,4.0
10,13,0,False,2019-08-11 13:00:00,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,75,0,100612,0,0,13,3,NEW,15,Özil,3,6.9
8,11,1,True,2019-08-10 11:30:00,0,5,1,90,0,0,0,5,0,0,0,0,0,4,0,18,28.4,0.0,0.0,2.8,50,0,286631,0,0,11,5,MCI,388,Fabianski,1,4.9
2,3,0,False,2019-08-10 14:00:00,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,47151,0,0,3,2,BOU,444,Jagielka,2,4.1
4,8,0,True,2019-08-10 14:00:00,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,10397,0,0,8,3,EVE,139,Kouyaté,3,4.8
6,2,0,True,2019-08-10 16:30:00,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,95,0,60979,0,0,2,2,AVL,342,Son,3,9.7
4,8,3,True,2019-08-10 14:00:00,0,0,1,90,0,0,1,0,0,0,0,0,0,0,0,15,22.2,11.6,0.0,3.4,55,0,110758,0,0,8,3,EVE,138,McArthur,3,5.2
