player_id,fixture_id,opponent_team_id,total_points,home_game,kickoff_time,round,minutes_played,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,value,transfers_balance,selected,transfers_in,transfers_out,team_score,opponent_team_score,team_id,corners_and_indirect_freekicks_order,direct_freekicks_order,penalties_order,team_short_name,position_name_short,team_strength,full_name,opponent_team,opponent_team_strength,event_name,difficulty
3,2,8,0.0,False,2020-09-12 11:30:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,69564.0,0.0,0.0,3.0,0.0,1,,4.0,,ARS,DEF,4,David Luiz Moreira Marinho,FUL,2,,
4,2,8,7.0,False,2020-09-12 11:30:00,1.0,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,36.6,15.3,54.0,10.6,120.0,0.0,2823465.0,0.0,0.0,3.0,0.0,1,,6.0,1.0,ARS,MID,4,Pierre-Emerick Aubameyang,FUL,2,,
6,2,8,7.0,False,2020-09-12 11:30:00,1.0,86.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,38.6,12.7,48.0,9.9,85.0,0.0,196064.0,0.0,0.0,3.0,0.0,1,,5.0,3.0,ARS,FWD,4,Alexandre Lacazette,FUL,2,,
7,2,8,0.0,False,2020-09-12 11:30:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,899.0,0.0,0.0,3.0,0.0,1,,,,ARS,DEF,4,Shkodran Mustafi,FUL,2,,
8,2,8,7.0,False,2020-09-12 11:30:00,1.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,29.0,14.0,0.0,0.0,1.4,50.0,0.0,400285.0,0.0,0.0,3.0,0.0,1,,,,ARS,GKP,4,Bernd Leno,FUL,2,,
9,2,8,3.0,False,2020-09-12 11:30:00,1.0,77.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,6.8,17.2,21.0,4.5,55.0,0.0,42909.0,0.0,0.0,3.0,0.0,1,,2.0,,ARS,MID,4,Granit Xhaka,FUL,2,,
11,2,8,5.0,False,2020-09-12 11:30:00,1.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,23.0,9.8,26.4,4.0,4.0,50.0,0.0,240975.0,0.0,0.0,3.0,0.0,1,,,,ARS,DEF,4,Héctor Bellerín,FUL,2,,
12,22,8,6.0,False,2020-09-28 16:45:00,3.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,26.0,19.0,0.0,0.0,1.9,45.0,333894.0,783041.0,385360.0,51466.0,3.0,0.0,2,,,,AVL,GKP,3,Emiliano Martínez,FUL,2,,
14,2,8,0.0,False,2020-09-12 11:30:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,17088.0,0.0,0.0,3.0,0.0,1,,,,ARS,DEF,4,Sead Kolasinac,FUL,2,,
15,2,8,6.0,False,2020-09-12 11:30:00,1.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,10.2,2.8,4.0,1.7,50.0,0.0,112927.0,0.0,0.0,3.0,0.0,1,,,,ARS,DEF,4,Ainsley Maitland-Niles,FUL,2,,
16,2,8,6.0,False,2020-09-12 11:30:00,1.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,20.6,1.2,0.0,2.2,45.0,0.0,71148.0,0.0,0.0,3.0,0.0,1,,,,ARS,DEF,4,Rob Holding,FUL,2,,
17,2,8,6.0,False,2020-09-12 11:30:00,1.0,90.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,12.8,2.5,2.0,1.7,55.0,0.0,686005.0,0.0,0.0,3.0,0.0,1,,,,ARS,DEF,4,Kieran Tierney,FUL,2,,
18,2,8,1.0,False,2020-09-12 11:30:00,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,15.3,6.0,2.3,80.0,0.0,132947.0,0.0,0.0,3.0,0.0,1,2.0,3.0,2.0,ARS,MID,4,Nicolas Pépé,FUL,2,,
22,2,8,1.0,False,2020-09-12 11:30:00,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,60.0,0.0,112190.0,0.0,0.0,3.0,0.0,1,,,,ARS,FWD,4,Edward Nketiah,FUL,2,,
24,2,8,0.0,False,2020-09-12 11:30:00,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,491508.0,0.0,0.0,3.0,0.0,1,4.0,,,ARS,MID,4,Bukayo Saka,FUL,2,,
29,22,8,0.0,False,2020-09-28 16:45:00,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,-3639.0,30390.0,1678.0,5317.0,3.0,0.0,2,,,,AVL,DEF,3,Ahmed El Mohamady,FUL,2,,
33,22,8,14.0,False,2020-09-28 16:45:00,3.0,76.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,44.0,55.4,40.1,20.0,11.6,60.0,-196.0,5325.0,568.0,764.0,3.0,0.0,2,1.0,1.0,,AVL,MID,3,Conor Hourihane,FUL,2,,
37,22,8,8.0,False,2020-09-28 16:45:00,3.0,90.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,45.4,25.0,61.0,13.1,70.0,-48718.0,658262.0,44657.0,93375.0,3.0,0.0,2,3.0,7.0,4.0,AVL,MID,3,Jack Grealish,FUL,2,,
38,22,8,10.0,False,2020-09-28 16:45:00,3.0,90.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,35.0,45.0,55.4,31.0,13.1,55.0,-2945.0,32594.0,1806.0,4751.0,3.0,0.0,2,4.0,6.0,,AVL,MID,3,John McGinn,FUL,2,,
