id,name,deadline_time,average_entry_score,finished,data_checked,highest_scoring_entry,deadline_time_epoch,deadline_time_game_offset,highest_score,is_previous,is_current,is_next,chip_plays,most_selected,most_transferred_in,top_element,top_element_info,transfers_made,most_captained,most_vice_captained
1,Gameweek 1,2019-08-09 18:00:00,65,True,False,3493085.0,1565373600,0,142.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 128770}, {'chip_name': '3xc', 'num_played': 271367}]",183.0,1.0,214.0,"{'id': 214, 'points': 20}",0,191.0,189.0
2,Gameweek 2,2019-08-17 10:30:00,41,True,False,6106693.0,1566037800,0,119.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 114585}, {'chip_name': 'freehit', 'num_played': 89437}, {'chip_name': 'wildcard', 'num_played': 263066}, {'chip_name': '3xc', 'num_played': 216711}]",183.0,235.0,278.0,"{'id': 278, 'points': 17}",9998839,191.0,214.0
3,Gameweek 3,2019-08-23 18:00:00,44,True,False,5087809.0,1566583200,0,107.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 79958}, {'chip_name': 'freehit', 'num_played': 104304}, {'chip_name': 'wildcard', 'num_played': 414347}, {'chip_name': '3xc', 'num_played': 166101}]",183.0,278.0,191.0,"{'id': 191, 'points': 15}",13387638,214.0,191.0
4,Gameweek 4,2019-08-31 10:30:00,57,True,False,6372519.0,1567247400,0,136.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 72741}, {'chip_name': 'freehit', 'num_played': 108397}, {'chip_name': 'wildcard', 'num_played': 429973}, {'chip_name': '3xc', 'num_played': 198605}]",183.0,278.0,166.0,"{'id': 166, 'points': 16}",13215999,214.0,191.0
5,Gameweek 5,2019-09-14 10:30:00,52,True,False,6223449.0,1568457000,0,128.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 58835}, {'chip_name': 'freehit', 'num_played': 97679}, {'chip_name': 'wildcard', 'num_played': 410196}, {'chip_name': '3xc', 'num_played': 186316}]",183.0,243.0,342.0,"{'id': 342, 'points': 16}",12363678,191.0,214.0
6,Gameweek 6,2019-09-20 18:00:00,52,True,False,3423365.0,1569002400,0,141.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 47670}, {'chip_name': 'freehit', 'num_played': 66453}, {'chip_name': 'wildcard', 'num_played': 219869}, {'chip_name': '3xc', 'num_played': 101101}]",183.0,460.0,218.0,"{'id': 218, 'points': 19}",7987314,214.0,191.0
7,Gameweek 7,2019-09-28 10:30:00,51,True,False,6758371.0,1569666600,0,118.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 65678}, {'chip_name': 'freehit', 'num_played': 70455}, {'chip_name': 'wildcard', 'num_played': 225098}, {'chip_name': '3xc', 'num_played': 94246}]",183.0,460.0,401.0,"{'id': 401, 'points': 15}",9336557,191.0,215.0
8,Gameweek 8,2019-10-05 10:30:00,36,True,False,6815331.0,1570271400,0,100.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 54626}, {'chip_name': 'freehit', 'num_played': 80423}, {'chip_name': 'wildcard', 'num_played': 123551}, {'chip_name': '3xc', 'num_played': 67069}]",183.0,217.0,417.0,"{'id': 417, 'points': 16}",7457686,214.0,191.0
9,Gameweek 9,2019-10-19 10:30:00,37,True,False,2389132.0,1571481000,0,98.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 57241}, {'chip_name': 'freehit', 'num_played': 63751}, {'chip_name': 'wildcard', 'num_played': 187805}, {'chip_name': '3xc', 'num_played': 60602}]",183.0,192.0,103.0,"{'id': 103, 'points': 14}",8197899,210.0,214.0
10,Gameweek 10,2019-10-25 18:00:00,49,True,False,4918403.0,1572026400,0,138.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 40195}, {'chip_name': 'freehit', 'num_played': 34327}, {'chip_name': 'wildcard', 'num_played': 79941}, {'chip_name': '3xc', 'num_played': 48433}]",183.0,215.0,265.0,"{'id': 265, 'points': 20}",5154940,214.0,214.0
11,Gameweek 11,2019-11-02 11:30:00,53,True,False,6812520.0,1572694200,0,134.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 58131}, {'chip_name': 'freehit', 'num_played': 50357}, {'chip_name': 'wildcard', 'num_played': 112730}, {'chip_name': '3xc', 'num_played': 126194}]",460.0,166.0,297.0,"{'id': 297, 'points': 21}",7319811,214.0,215.0
12,Gameweek 12,2019-11-08 19:00:00,48,True,False,7014679.0,1573239600,0,119.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 50200}, {'chip_name': 'freehit', 'num_played': 76548}, {'chip_name': 'wildcard', 'num_played': 92282}, {'chip_name': '3xc', 'num_played': 33711}]",460.0,431.0,84.0,"{'id': 84, 'points': 12}",6661058,460.0,192.0
13,Gameweek 13,2019-11-23 11:30:00,49,True,False,1305610.0,1574508600,0,124.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 41581}, {'chip_name': 'freehit', 'num_played': 73811}, {'chip_name': 'wildcard', 'num_played': 141943}, {'chip_name': '3xc', 'num_played': 60669}]",460.0,166.0,84.0,"{'id': 84, 'points': 17}",8018067,166.0,192.0
14,Gameweek 14,2019-11-30 11:30:00,51,True,False,3214667.0,1575113400,0,124.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 43934}, {'chip_name': 'freehit', 'num_played': 58376}, {'chip_name': 'wildcard', 'num_played': 107335}, {'chip_name': '3xc', 'num_played': 85856}]",297.0,409.0,183.0,"{'id': 183, 'points': 17}",6995827,166.0,192.0
15,Gameweek 15,2019-12-03 18:30:00,49,True,True,4812285.0,1575397800,0,117.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 60471}, {'chip_name': 'freehit', 'num_played': 29791}, {'chip_name': 'wildcard', 'num_played': 50012}, {'chip_name': '3xc', 'num_played': 96456}]",166.0,70.0,192.0,"{'id': 192, 'points': 15}",4393166,166.0,192.0
16,Gameweek 16,2019-12-07 11:30:00,54,True,True,932535.0,1575718200,0,127.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 70638}, {'chip_name': 'freehit', 'num_played': 30670}, {'chip_name': 'wildcard', 'num_played': 57853}, {'chip_name': '3xc', 'num_played': 45872}]",166.0,344.0,338.0,"{'id': 338, 'points': 16}",5239833,166.0,192.0
17,Gameweek 17,2019-12-14 11:30:00,56,True,True,2261247.0,1576323000,0,131.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 83986}, {'chip_name': 'freehit', 'num_played': 43283}, {'chip_name': 'wildcard', 'num_played': 82312}, {'chip_name': '3xc', 'num_played': 161733}]",166.0,233.0,215.0,"{'id': 215, 'points': 19}",6301130,166.0,192.0
18,Gameweek 18,2019-12-21 11:30:00,38,True,True,2365688.0,1576927800,0,100.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 31116}, {'chip_name': 'freehit', 'num_played': 203823}, {'chip_name': 'wildcard', 'num_played': 93644}, {'chip_name': '3xc', 'num_played': 25796}]",166.0,215.0,113.0,"{'id': 113, 'points': 16}",7276371,166.0,166.0
19,Gameweek 19,2019-12-26 11:30:00,49,True,True,7224850.0,1577359800,0,124.0,False,False,False,"[{'chip_name': 'bboost', 'num_played': 60633}, {'chip_name': 'freehit', 'num_played': 39223}, {'chip_name': 'wildcard', 'num_played': 87255}, {'chip_name': '3xc', 'num_played': 40904}]",166.0,215.0,182.0,"{'id': 182, 'points': 24}",5352893,166.0,215.0
